Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,03/31/2026 18:35,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 86190699/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,03/26/2026 19:16,03/26/2026 19:21,XAUUSD,Sell,0.200,0.00000,0.00000,4424.47000,4410.88000,1359.0,1.36,"",0,00:00:04:50,60.0,2m,349.0,0.23,1497.0,,-349.0,,81.1,92.5,-138.00,
,03/23/2026 17:18,03/23/2026 17:24,XAUUSD,Buy,0.200,0.00000,0.00000,4494.57000,4501.97000,740.0,0.74,"",0,00:00:05:58,33.4,1m,619.0,0.84,740.0,,-619.0,,54.5,100.0,0.00,
,03/20/2026 16:51,03/20/2026 16:53,XAUUSD,Sell,0.200,0.00000,0.00000,4632.41000,4622.04000,1037.0,1.06,"",0,00:00:01:40,,,,,,,,,,,,
,03/20/2026 16:35,03/20/2026 16:36,XAUUSD,Sell,0.200,0.00000,0.00000,4637.85000,4657.77000,-1992.0,-1.99,"",0,00:00:01:18,,,,,,,,,,,,
,03/17/2026 18:34,03/19/2026 10:45,XAUUSD,Sell,0.400,0.00000,0.00000,4992.97000,4862.01500,13095.5,1.00,"",,01:16:11:12,,,,,,,,,,,,
,03/14/2026 17:40,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 85349591/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,03/13/2026 17:45,03/13/2026 17:52,XAUUSD,Sell,0.200,0.00000,0.00000,5073.63000,5064.87000,876.0,0.86,"",0,00:00:06:42,57.2,3m,417.0,0.46,905.0,,-417.0,,68.5,97.8,-29.00,
,03/10/2026 18:31,03/10/2026 18:39,XAUUSD,Buy,0.200,0.00000,5249.98000,5231.22000,5233.08000,186.0,0.18,"",0,00:00:08:05,87.5,7m,499.0,0.06,470.0,,-29.0,,94.2,43.1,-284.00,
,03/09/2026 16:45,03/09/2026 16:55,XAUUSD,Sell,0.200,0.00000,0.00000,5074.11000,5070.63000,348.0,0.34,"",0,00:00:09:49,40.0,3m,830.0,2.13,389.0,,-830.0,,31.9,96.6,-41.00,
,03/06/2026 16:59,03/06/2026 17:01,XAUUSD,Buy,0.200,5111.49000,5141.23000,5132.88000,5141.79000,891.0,0.88,"",0,00:00:02:05,,,,,,,,,,,,
,03/06/2026 13:14,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 84978588/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,03/05/2026 17:08,03/05/2026 17:08,XAUUSD,Sell,0.200,0.00000,0.00000,5072.70000,5068.87000,383.0,0.37,"",0,00:00:00:10,,,,,,,,,,,,
,03/04/2026 19:23,03/04/2026 19:52,XAUUSD,Sell,0.200,0.00000,0.00000,5122.03000,5142.24000,-2021.0,-1.90,"",0,00:00:28:14,0.0,0s,3572.0,5000.00,0.0,,-3572.0,,0.0,43.4,-2021.00,
,03/02/2026 18:00,03/02/2026 18:00,XAUUSD,Sell,0.200,0.00000,5289.00000,5296.91000,5292.09000,482.0,0.45,"",0,00:00:00:11,,,,,,,,,,,,
,03/02/2026 16:34,03/02/2026 16:36,XAUUSD,Sell,0.200,0.00000,5297.24000,5309.04000,5333.47000,-2443.0,-2.24,"",0,00:00:02:35,,,,,,,,,,,,
,03/02/2026 15:30,03/02/2026 15:32,XAUUSD,Buy,0.100,0.00000,0.00000,5411.71000,5411.91000,20.0,0.01,"",0,00:00:01:59,,,,,,,,,,,,
,02/27/2026 20:47,02/27/2026 21:00,XAUUSD,Buy,0.060,0.00000,0.00000,5242.59000,5246.03000,344.0,0.09,"",0,00:00:12:38,7.7,58s,1009.0,1111.11,0.0,,-1009.0,,0.0,134.1,344.00,
,02/27/2026 17:52,02/27/2026 18:07,XAUUSD,Buy,0.060,0.00000,0.00000,5243.20000,5243.63000,43.0,0.01,"",0,00:00:14:54,6.7,59s,2187.0,51.02,43.0,,-2187.0,,1.9,100.0,0.00,
,02/26/2026 17:27,02/26/2026 17:28,XAUUSD,Sell,0.200,0.00000,0.00000,5140.87000,5133.91000,696.0,0.64,"",0,00:00:00:31,,,,,,,,,,,,
,02/25/2026 18:22,02/25/2026 18:24,XAUUSD,Buy,0.200,0.00000,0.00000,5203.43000,5205.52000,209.0,0.19,"",0,00:00:02:26,,,,,,,,,,,,
,02/24/2026 15:39,02/24/2026 15:39,XAUUSD,Sell,0.200,0.00000,0.00000,5144.99000,5136.81000,818.0,0.76,"",0,00:00:00:19,,,,,,,,,,,,
,02/23/2026 18:16,02/23/2026 18:36,XAUUSD,Buy,0.130,0.00000,0.00000,5206.11000,5210.76000,465.0,0.28,"",0,00:00:20:46,5.0,1m,1728.0,3.72,465.0,,-1728.0,,21.2,100.0,0.00,
,02/23/2026 17:20,02/23/2026 18:03,XAUUSD,Buy,0.130,0.00000,0.00000,5201.45000,5185.97000,-1548.0,-0.93,"",0,00:00:43:06,0.0,0s,3927.0,5000.00,0.0,,-3927.0,,0.0,60.6,-1548.00,
,02/20/2026 18:33,02/20/2026 19:02,XAUUSD,Buy,0.150,0.00000,0.00000,5066.57000,5067.08000,51.0,0.04,"",0,00:00:29:05,16.7,4m,2396.0,47.17,51.0,,-2396.0,,2.1,100.0,0.00,
,02/19/2026 17:27,02/19/2026 17:36,XAUUSD,Buy,0.150,0.00000,0.00000,5011.75000,5022.02000,1027.0,0.72,"",0,00:00:08:42,,,,,,,,,,,,
,02/19/2026 16:34,02/19/2026 16:44,XAUUSD,Sell,0.150,0.00000,0.00000,4973.63000,4990.36000,-1673.0,-1.15,"",0,00:00:09:21,,,,,,,,,,,,
,02/19/2026 16:34,02/19/2026 16:34,XAUUSD,Sell,0.150,0.00000,0.00000,4963.28000,4970.55000,-727.0,-0.50,"",0,00:00:00:15,,,,,,,,,,,,
,02/17/2026 15:56,02/17/2026 15:57,XAUUSD,Sell,0.150,0.00000,4890.54000,4904.66000,4887.85000,1681.0,1.16,"[tp 4890.54]",0,00:00:01:08,,,,,,,,,,,,
,02/12/2026 18:10,02/12/2026 18:11,XAUUSD,Sell,0.150,0.00000,0.00000,5036.15000,5025.51000,1064.0,0.74,"",0,00:00:00:29,,,,,,,,,,,,
,02/12/2026 15:46,02/12/2026 16:04,XAUUSD,Buy,0.150,0.00000,0.00000,5078.99000,5069.03000,-996.0,-0.68,"",0,00:00:17:18,,,,,,,,,,,,
,02/10/2026 17:37,02/10/2026 17:38,XAUUSD,Sell,0.150,0.00000,5003.60000,5016.45000,5003.37000,1308.0,0.91,"[tp 5003.60]",0,00:00:01:20,,,,,,,,,,,,
,02/10/2026 16:31,02/10/2026 16:41,XAUUSD,Buy,0.150,0.00000,0.00000,5074.75000,5055.05000,-1970.0,-1.34,"",0,00:00:10:02,,,,,,,,,,,,
,02/09/2026 16:45,02/09/2026 17:33,XAUUSD,Buy,0.150,0.00000,0.00000,5038.93000,5050.93000,1200.0,0.83,"",0,00:00:48:08,,,,,,,,,,,,
,02/06/2026 15:24,02/06/2026 15:38,XAUUSD,Buy,0.100,0.00000,0.00000,4927.09000,4936.43000,934.0,0.43,"",0,00:00:14:24,,,,,,,,,,,,
,02/06/2026 10:21,02/06/2026 10:21,XAUUSD,Buy,0.150,0.00000,0.00000,4863.88000,4864.75000,87.0,0.06,"",0,00:00:00:24,,,,,,,,,,,,
,02/06/2026 01:24,02/06/2026 01:27,XAUUSD,Sell,0.100,0.00000,0.00000,4757.45000,4754.71000,274.0,0.13,"",0,00:00:02:29,,,,,,,,,,,,
,02/04/2026 17:22,02/04/2026 17:31,XAUUSD,Sell,0.150,0.00000,0.00000,4954.39000,4939.69000,1470.0,1.04,"",0,00:00:08:24,,,,,,,,,,,,
,02/04/2026 11:45,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,"AutoTrf 83456194/to EUR13675581",0,00:00:00:00,,,,,,,,,,,,
,02/03/2026 18:20,02/03/2026 18:27,XAUUSD,Buy,0.150,0.00000,0.00000,4972.05000,4978.37000,632.0,0.41,"",0,00:00:06:37,,,,,,,,,,,,
,02/02/2026 17:53,02/02/2026 17:57,XAUUSD,Sell,0.150,0.00000,0.00000,4636.01000,4623.39000,1262.0,0.83,"",0,00:00:04:18,,,,,,,,,,,,
,01/30/2026 21:54,01/30/2026 21:57,XAUUSD,Buy,0.150,0.00000,0.00000,4941.36000,4947.58000,622.0,0.41,"",0,00:00:03:29,,,,,,,,,,,,
,01/30/2026 19:07,01/30/2026 19:25,XAUUSD,Sell,0.020,0.00000,0.00000,4941.73000,4934.44000,729.0,0.06,"",0,00:00:18:18,,,,,,,,,,,,
,01/23/2026 17:41,01/23/2026 18:02,XAUUSD,Buy,0.150,0.00000,0.00000,4957.89000,4964.47000,658.0,0.44,"",0,00:00:20:59,,,,,,,,,,,,
,01/22/2026 17:25,01/22/2026 17:26,XAUUSD,Buy,0.250,0.00000,0.00000,4847.42000,4851.84000,442.0,0.50,"",0,00:00:01:25,,,,,,,,,,,,
