Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
09/29/2021 03:54,09/29/2021 05:20,EURUSD,Buy,0.010,1.16499,1.17139,1.16819,1.16880,-0.0700,0.0000,6.1,0.54,0.44,7199174,00:01:25:57,64.0,55m,6.6,0.44,6.1,0.61,-2.7,-0.27,69.3,100.0,0.00,0.00
09/28/2021 03:54,09/28/2021 05:52,EURUSD,Buy,0.010,1.16543,1.17183,1.16863,1.16940,-0.0700,0.0000,7.7,0.70,0.57,7199174,00:01:57:48,75.5,1h 28m,4.1,0.16,7.7,0.77,-1.2,-0.12,86.5,100.0,0.00,0.00
09/22/2021 03:54,09/22/2021 04:08,EURUSD,Buy,0.010,1.16863,1.17503,1.17183,1.17250,-0.0700,0.0000,6.7,0.60,0.49,7199174,00:00:13:48,71.5,9m,2.3,0.16,6.7,0.67,-1.1,-0.11000000000000001,85.9,100.0,0.00,0.00
09/21/2021 03:55,09/21/2021 04:11,EURGBP,Sell,0.010,0.86207,0.85567,0.85887,0.85841,-0.0700,0.0000,4.6,0.55,0.45,7199174,00:00:16:53,94.2,15m,1.0,0.22,4.6,0.598,0.0,0.0,100.0,100.0,0.00,0.00
09/16/2021 03:55,09/16/2021 05:22,EURCHF,Sell,0.010,1.09054,1.08414,1.08734,1.08673,-0.0700,0.0000,6.1,0.59,0.49,7199174,00:01:27:50,98.9,1h 26m,2.6,0.03,6.7,0.737,-0.2,-0.022000000000000002,97.1,91.3,-0.60,-0.07
09/15/2021 03:54,09/15/2021 09:39,EURUSD,Sell,0.010,1.18382,1.17742,1.18062,1.18002,-0.0700,0.0000,6.0,0.53,0.44,7199174,00:05:45:35,44.4,2h 33m,6.1,0.83,6.0,0.6000000000000001,-5.0,-0.5,54.5,100.0,0.00,0.00
09/15/2021 03:55,09/15/2021 06:36,EURGBP,Sell,0.010,0.85841,0.85201,0.85521,0.85540,-0.0700,0.0000,-1.9,-0.33,-0.27,7199174,00:02:41:54,5.0,8m,8.6,16.21,0.5,0.07,-8.1,-1.1340000000000001,5.8,72.1,-2.40,-0.34
09/15/2021 03:56,09/15/2021 04:14,USDCAD,Sell,0.010,1.27296,1.26656,1.26976,1.26916,-0.0700,0.0000,6.0,0.40,0.33,7199174,00:00:17:29,77.8,13m,2.1,0.33,6.3,0.504,-2.1,-0.168,75.0,96.4,-0.30,-0.02
09/14/2021 03:55,09/14/2021 09:10,EURCHF,Sell,0.010,1.09256,1.08616,1.08936,1.08876,-0.0700,0.0000,6.0,0.58,0.49,7199174,00:05:15:24,81.1,4h 15m,3.2,0.46,6.8,0.748,-3.1,-0.341,68.7,91.9,-0.80,-0.09
09/14/2021 03:56,09/14/2021 06:01,GBPCHF,Sell,0.010,1.28003,1.27363,1.27683,1.27632,-0.0700,0.0000,5.1,0.48,0.40,7199174,00:02:04:24,64.8,1h 20m,4.7,0.49,7.0,0.77,-3.4,-0.374,67.3,81.7,-1.90,-0.21
