Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/27/2026 09:18,05/08/2026 15:30,CADCHF,Sell,0.010,0.58858,0.00000,0.57507,0.56917,-0.0300,-1.0600,59.0,6.49,0.14,"",0,11:06:12:40,54.1,6d 2h ,41.7,0.56,69.6,9.048,-38.9,-5.057,64.1,90.2,-10.60,-1.38
04/28/2026 10:59,05/08/2026 15:30,CADCHF,Sell,0.030,0.58858,0.00000,0.57901,0.56914,-0.0900,-2.9900,98.7,34.97,0.74,"",0,10:04:31:04,100.0,10d 4h ,34.7,0.01,109.0,42.51,0.0,0.0,100.0,90.6,-10.30,-4.02
12/30/2025 23:01,05/06/2026 13:53,USDCHF,Sell,0.010,0.84079,0.00000,0.79211,0.77730,-0.0400,-21.0800,148.1,-2.07,-0.04,"",0,126:14:52:07,74.9,94d 20h ,398.1,0.39,292.3,37.999,-113.3,-14.729000000000001,72.1,64.4,-144.20,-18.75
04/29/2026 05:43,05/06/2026 13:47,NZDCHF,Buy,0.010,0.43273,0.00000,0.46269,0.46521,-0.0200,0.0800,25.2,3.30,0.07,"",0,07:08:04:11,7.3,12h 51m,33.3,1.23,25.2,3.276,-30.9,-4.017,44.9,100.0,0.00,0.00
05/05/2026 13:53,05/06/2026 07:49,USDJPY,Sell,0.010,170.14400,0.00000,157.65400,155.51000,-0.0400,-0.1400,214.4,13.61,0.29,"",0,00:17:56:28,14.0,2h 30m,30.5,0.13,217.2,13.031999999999998,-27.4,-1.644,88.8,98.9,-2.80,-0.17
05/04/2026 14:12,05/06/2026 04:19,AUDUSD,Buy,0.010,0.66364,0.00000,0.71809,0.72280,-0.0300,-0.0600,47.1,4.62,0.10,"",0,01:14:06:24,37.2,14h 10m,54.4,0.94,47.3,4.7299999999999995,-44.6,-4.46,51.5,99.8,-0.20,-0.02
04/29/2026 05:00,05/06/2026 03:51,GBPAUD,Sell,0.010,2.00595,0.00000,1.88475,1.87975,-0.0500,-0.4300,50.0,3.13,0.07,"",0,06:22:50:52,7.8,13h 0m,121.0,1.88,55.7,3.8990000000000005,-104.9,-7.343000000000001,34.7,96.5,-5.70,-0.40
04/17/2026 01:51,05/06/2026 03:41,AUDCAD,Buy,0.010,0.93283,0.00000,0.98127,0.98130,-0.0300,0.0200,0.3,0.01,0.00,"",0,19:01:50:10,4.5,20h 36m,128.6,2.00,42.8,2.996,-85.8,-6.006,33.3,67.0,-42.50,-2.98
05/04/2026 19:22,05/06/2026 03:03,EURAUD,Sell,0.010,1.73392,0.00000,1.63206,1.62542,-0.0500,0.0200,66.4,4.76,0.10,"",0,01:07:40:25,73.2,23h 11m,80.2,0.77,66.5,4.655,-51.0,-3.5700000000000003,56.6,99.9,-0.10,-0.01
04/30/2026 12:13,05/05/2026 12:00,USDJPY,Buy,0.010,147.82000,0.00000,159.38600,157.71200,-0.0400,0.1200,-167.4,-10.53,-0.22,"",0,04:23:47:18,0.1,7m,382.9,31.25,11.9,0.714,-371.0,-22.259999999999998,3.1,53.2,-179.30,-10.76
05/01/2026 09:52,05/05/2026 12:00,USDJPY,Buy,0.010,147.82000,0.00000,155.53300,157.70000,-0.0400,0.0800,216.7,13.78,0.29,"",0,04:02:08:17,100.0,4d 2h ,141.5,0.00,216.7,13.001999999999999,0.0,0.0,100.0,100.0,0.00,0.00
04/23/2026 20:17,05/04/2026 07:00,EURNZD,Sell,0.010,2.15047,0.00000,1.99537,1.98132,-0.0500,-0.1700,140.5,8.11,0.17,"",0,10:10:42:49,82.8,8d 15h ,231.6,0.68,143.6,8.616,-97.2,-5.832,59.6,98.7,-3.10,-0.19
03/12/2026 15:46,05/01/2026 17:06,AUDUSD,Buy,0.010,0.64922,0.00000,0.71080,0.72237,-0.0300,-1.5700,115.7,9.97,0.21,"",0,50:01:20:22,36.0,18d ,267.2,2.27,115.7,11.57,-262.5,-26.25,30.6,100.0,0.00,0.00
03/26/2026 14:42,05/01/2026 17:06,AUDUSD,Buy,0.010,0.64922,0.00000,0.69030,0.72236,-0.0300,-1.1300,320.6,30.90,0.66,"",0,36:02:24:13,76.8,27d 17h ,98.4,0.19,320.6,32.06,-60.0,-6.0,84.2,100.0,0.00,0.00
04/29/2026 05:35,05/01/2026 01:32,EURAUD,Sell,0.010,1.73755,0.00000,1.63421,1.62953,-0.0500,0.0500,46.8,3.37,0.07,"",0,01:19:57:49,27.0,11h 52m,87.6,1.44,56.0,3.9200000000000004,-80.7,-5.649000000000001,41.0,93.3,-9.20,-0.64
04/28/2026 21:49,04/30/2026 22:53,EURCAD,Sell,0.010,1.66681,0.00000,1.60317,1.59404,-0.0500,-0.1300,91.3,6.54,0.14,"",0,02:01:03:55,100.0,2d 1h ,50.9,0.01,91.3,6.391,0.0,0.0,100.0,100.0,0.00,0.00
04/16/2026 12:27,04/30/2026 21:43,GBPUSD,Buy,0.010,1.26350,0.00000,1.35393,1.35999,-0.0500,-0.5600,60.6,5.45,0.12,"",0,14:09:15:31,8.0,1d 3h ,126.8,1.33,62.6,6.260000000000001,-83.1,-8.31,43.0,98.6,-2.00,-0.20
04/28/2026 17:51,04/30/2026 21:30,USDCAD,Sell,0.010,1.44405,0.00000,1.36827,1.35969,-0.0400,-0.3300,85.8,5.94,0.13,"",0,02:03:38:40,67.5,1d 10h ,35.3,0.28,87.2,6.104000000000001,-24.1,-1.6870000000000003,78.3,98.7,-1.40,-0.10
