Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/16/2026 15:09,04/16/2026 16:52,XAUUSD,Buy,0.010,4797.27000,0.00000,4816.75000,4796.96000,-1979.0,-0.86,7864234,00:01:42:58,0.0,0s,3055.0,3333.33,0.0,,-3055.0,,0.0,35.2,-1979.00,
04/15/2026 13:55,04/15/2026 18:07,XAUUSD,Buy,0.010,4802.30000,0.00000,4802.25000,4802.08000,-17.0,-0.01,7864234,00:04:12:45,92.9,3h 54m,3678.0,0.34,2755.0,,-923.0,,74.9,24.6,-2772.00,
04/15/2026 11:05,04/15/2026 12:47,XAUUSD,Buy,0.010,4790.61000,0.00000,4810.10000,4790.50000,-1960.0,-0.84,7864234,00:01:41:15,50.0,50m,2538.0,3.39,578.0,,-1960.0,,22.8,0.0,-2538.00,
04/14/2026 15:19,04/14/2026 20:34,XAUUSD,Buy,0.010,0.00000,4833.97000,4769.91000,4834.02000,6411.0,2.82,7864234,00:05:14:40,100.0,5h 14m,1146.0,0.00,7557.0,,0.0,,100.0,84.8,-1146.00,
04/09/2026 18:28,04/13/2026 22:00,USDCHF,Buy,0.030,0.78310,0.00000,0.79022,0.78309,-71.3,-1.18,7864234,04:03:31:08,23.3,23h 11m,103.4,2.26,31.7,,-71.7,,30.7,0.4,-103.00,
04/10/2026 15:10,04/10/2026 18:36,XAUUSD,Buy,0.010,4765.99000,0.00000,4764.99000,4764.25000,-74.0,-0.03,7864234,00:03:26:07,32.1,1h 6m,3829.0,0.74,2199.0,,-1630.0,,57.4,40.6,-2273.00,
04/09/2026 13:57,04/09/2026 18:41,XAUUSD,Buy,0.010,0.00000,0.00000,4741.66000,4795.07000,5341.0,2.37,7864234,00:04:43:53,100.0,4h 43m,2952.0,0.00,5909.0,,0.0,,100.0,90.4,-568.00,
04/08/2026 15:19,04/08/2026 15:22,XAUUSD,Buy,0.010,4775.23000,0.00000,4796.30000,4775.09000,-2121.0,-0.94,7864234,00:00:02:30,,,,,,,,,,,,
04/06/2026 04:17,04/06/2026 18:39,XAUUSD,Buy,0.010,4652.42000,0.00000,4632.42000,4652.38000,1996.0,0.88,7864234,00:14:21:45,100.0,14h 21m,5329.0,0.00,7325.0,,0.0,,100.0,27.2,-5329.00,
04/06/2026 13:54,04/06/2026 15:15,XAUUSD,Buy,0.010,4670.89000,0.00000,4691.34000,4670.73000,-2061.0,-0.91,7864234,00:01:20:31,2.5,2m,3485.0,16.69,197.0,,-3288.0,,5.7,35.2,-2258.00,
03/27/2026 08:40,04/02/2026 11:54,AUDNZD,Buy,0.040,0.00000,0.00000,1.19590,1.20402,81.2,0.82,,06:03:13:53,93.8,5d 18h ,38.2,0.27,94.4,,-25.9,,78.5,89.0,-13.20,
03/31/2026 18:10,04/02/2026 09:26,EURGBP,Sell,0.050,0.87270,0.00000,0.87262,0.87271,-0.9,-0.02,,01:15:16:20,62.7,1d ,33.9,0.49,26.9,,-13.3,,66.9,30.8,-27.80,
03/30/2026 18:17,03/31/2026 17:55,EURGBP,Sell,0.050,0.87215,0.00000,0.86859,0.87215,-35.6,-1.04,7864234,00:23:37:53,21.9,5h 10m,62.1,6.67,8.1,,-54.0,,13.0,29.6,-43.70,
03/31/2026 12:14,03/31/2026 13:38,XAUUSD,Buy,0.010,4546.47000,0.00000,4567.53000,4546.35000,-2118.0,-0.92,7864234,00:01:24:03,94.2,1h 19m,3912.0,1.18,1794.0,,-2118.0,,45.9,0.0,-3912.00,
03/31/2026 05:49,03/31/2026 05:54,XAUUSD,Buy,0.030,4570.88000,0.00000,4569.88000,4570.77000,89.0,0.11,7864234,00:00:04:56,,,,,,,,,,,,
03/31/2026 05:03,03/31/2026 05:13,XAUUSD,Buy,0.030,4589.94000,0.00000,4588.94000,4589.94000,100.0,0.12,7864234,00:00:10:23,,,,,,,,,,,,
03/30/2026 16:49,03/30/2026 20:14,XAUUSD,Buy,0.010,4523.00000,0.00000,4534.14000,4522.99000,-1115.0,-0.49,7864234,00:03:25:21,6.4,13m,4925.0,4.33,925.0,,-4000.0,,18.8,58.6,-2040.00,
03/27/2026 16:01,03/27/2026 18:14,XAUUSD,Buy,0.010,0.00000,4532.49000,4436.54000,4532.62000,9608.0,4.35,7864234,00:02:12:22,100.0,2h 12m,4667.0,0.00,9679.0,,0.0,,100.0,99.3,-71.00,
03/27/2026 16:09,03/27/2026 17:57,XAUUSD,Buy,0.010,0.00000,0.00000,4429.22000,4504.29000,7507.0,3.52,7864234,00:01:47:23,100.0,1h 47m,4662.0,0.00,10411.0,,0.0,,100.0,72.1,-2904.00,
03/26/2026 09:25,03/27/2026 16:17,EURGBP,Sell,0.070,0.86745,0.00000,0.86510,0.86745,-23.5,-1.03,7864234,01:06:52:27,51.1,15h 46m,36.9,1.75,13.4,,-23.5,,36.3,0.0,-36.90,
03/26/2026 15:30,03/26/2026 18:57,XAUUSD,Buy,0.010,4435.57000,0.00000,4434.57000,4435.46000,89.0,0.04,7864234,00:03:27:14,19.6,40m,7109.0,5.57,1082.0,,-6027.0,,15.2,86.0,-993.00,
03/26/2026 16:09,03/26/2026 16:40,XAUUSD,Buy,0.010,4429.44000,0.00000,4438.57000,4429.41000,-916.0,-0.43,7864234,00:00:31:48,0.0,0s,6266.0,10000.00,0.0,,-6266.0,,0.0,85.4,-916.00,
03/24/2026 12:35,03/26/2026 14:25,EURGBP,Buy,0.050,0.86500,0.00000,0.86574,0.86500,-7.4,-0.32,7864234,02:01:49:53,16.4,8h 10m,28.5,1.79,10.2,,-18.3,,35.8,38.2,-17.60,
03/26/2026 13:42,03/26/2026 13:44,XAUUSD,Buy,0.020,4424.12000,0.00000,4434.48000,4423.90000,-1058.0,-0.97,7864234,00:00:01:58,,,,,,,,,,,,
03/26/2026 06:18,03/26/2026 08:26,XAUUSD,Buy,0.010,4498.00000,0.00000,4509.82000,4497.60000,-1222.0,-0.56,7864234,00:02:08:17,0.0,0s,8180.0,10000.00,0.0,,-8180.0,,0.0,85.1,-1222.00,
