Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,06/02/2026 17:31,06/02/2026 17:50,XAUUSD,Sell,0.010,0.00000,0.00000,4496.10000,4501.81000,0.0000,0.0000,-571.0,-5.65,-0.05,2911,00:00:19:34,0.0,0s,571.0,588.24,0.0,0.0,-571.0,-5.71,0.0,0.0,-571.00,-5.71
,06/02/2026 17:32,06/02/2026 17:50,XAUUSD,Sell,0.030,0.00000,0.00000,4498.13000,4501.82000,0.0000,0.0000,-369.0,-10.96,-0.10,2911,00:00:18:30,0.0,0s,369.0,370.37,0.0,0.0,-369.0,-11.07,0.0,0.0,-369.00,-11.07
,06/02/2026 17:31,06/02/2026 17:50,XAUUSD,Sell,0.020,0.00000,0.00000,4497.11000,4501.81000,0.0000,0.0000,-470.0,-9.31,-0.09,2911,00:00:18:56,0.0,0s,470.0,476.19,0.0,0.0,-470.0,-9.4,0.0,0.0,-470.00,-9.40
,06/02/2026 17:35,06/02/2026 17:50,XAUUSD,Sell,0.050,0.00000,0.00000,4500.27000,4501.79000,0.0000,0.0000,-152.0,-7.52,-0.07,2911,00:00:15:31,0.0,0s,152.0,153.85,0.0,0.0,-152.0,-7.6000000000000005,0.0,0.0,-152.00,-7.60
,06/02/2026 17:33,06/02/2026 17:50,XAUUSD,Sell,0.040,0.00000,0.00000,4499.29000,4501.76000,0.0000,0.0000,-247.0,-9.78,-0.09,2911,00:00:17:38,0.0,0s,247.0,250.00,0.0,0.0,-247.0,-9.88,0.0,0.0,-247.00,-9.88
,06/02/2026 17:36,06/02/2026 17:50,XAUUSD,Sell,0.060,0.00000,0.00000,4502.04000,4501.70000,0.0000,0.0000,34.0,2.02,0.02,2911,00:00:14:38,6.7,58s,0.0,0.03,34.0,2.04,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 17:37,06/02/2026 17:50,XAUUSD,Buy,0.010,0.00000,0.00000,4503.18000,4500.98000,0.0000,0.0000,-220.0,-2.20,-0.02,2911,00:00:12:59,0.0,0s,220.0,222.22,0.0,0.0,-220.0,-2.2,0.0,0.0,-220.00,-2.20
,06/02/2026 17:37,06/02/2026 17:50,XAUUSD,Buy,0.010,0.00000,0.00000,4502.08000,4501.18000,0.0000,0.0000,-90.0,-0.90,-0.01,2911,00:00:13:21,0.0,0s,90.0,90.09,0.0,0.0,-90.0,-0.9,0.0,0.0,-90.00,-0.90
,06/02/2026 17:37,06/02/2026 17:50,XAUUSD,Sell,0.020,0.00000,0.00000,4503.12000,4501.22000,0.0000,0.0000,190.0,3.76,0.03,2911,00:00:12:53,7.7,59s,0.0,0.01,190.0,3.8000000000000003,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 17:37,06/02/2026 17:50,XAUUSD,Buy,0.010,0.00000,0.00000,4504.17000,4500.91000,0.0000,0.0000,-326.0,-3.26,-0.03,2911,00:00:12:37,0.0,0s,326.0,333.33,0.0,0.0,-326.0,-3.2600000000000002,0.0,0.0,-326.00,-3.26
,06/02/2026 17:38,06/02/2026 17:50,XAUUSD,Sell,0.030,0.00000,0.00000,4504.20000,4501.15000,0.0000,0.0000,305.0,9.06,0.08,2911,00:00:12:16,8.4,1m,0.0,0.00,305.0,9.15,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 17:44,06/02/2026 17:50,XAUUSD,Buy,0.010,0.00000,0.00000,4505.00000,4500.87000,0.0000,0.0000,-413.0,-4.13,-0.04,2911,00:00:05:55,0.0,0s,413.0,416.67,0.0,0.0,-413.0,-4.13,0.0,0.0,-413.00,-4.13
,06/02/2026 17:44,06/02/2026 17:50,XAUUSD,Sell,0.040,0.00000,0.00000,4504.77000,4501.12000,0.0000,0.0000,365.0,14.45,0.13,2911,00:00:05:43,16.7,57s,0.0,0.00,365.0,14.6,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 17:46,06/02/2026 17:50,XAUUSD,Sell,0.050,0.00000,0.00000,4505.87000,4501.14000,0.0000,0.0000,473.0,23.41,0.22,2911,00:00:04:16,25.0,1m,0.0,0.00,473.0,23.650000000000002,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 17:46,06/02/2026 17:50,XAUUSD,Buy,0.010,0.00000,0.00000,4506.12000,4500.87000,0.0000,0.0000,-525.0,-5.25,-0.05,2911,00:00:04:16,0.0,0s,525.0,526.32,0.0,0.0,-525.0,-5.25,0.0,0.0,-525.00,-5.25
,06/02/2026 17:16,06/02/2026 17:17,XAUUSD,Sell,0.010,0.00000,0.00000,4500.20000,4498.99000,0.0000,0.0000,121.0,1.20,0.01,2911,00:00:01:04,,,,,,,,,,,,
,06/02/2026 17:16,06/02/2026 17:17,XAUUSD,Sell,0.010,0.00000,0.00000,4498.91000,4499.04000,0.0000,0.0000,-13.0,-0.13,0.00,2911,00:00:01:01,,,,,,,,,,,,
,06/02/2026 17:16,06/02/2026 17:17,XAUUSD,Sell,0.020,0.00000,0.00000,4501.41000,4498.87000,0.0000,0.0000,254.0,5.03,0.05,2911,00:00:00:29,,,,,,,,,,,,
,06/02/2026 17:16,06/02/2026 17:17,XAUUSD,Sell,0.010,0.00000,0.00000,4497.64000,4499.03000,0.0000,0.0000,-139.0,-1.38,-0.01,2911,00:00:00:52,,,,,,,,,,,,
,06/02/2026 17:15,06/02/2026 17:15,XAUUSD,Sell,0.010,0.00000,0.00000,4503.92000,4502.71000,0.0000,0.0000,121.0,1.20,0.01,2911,00:00:00:31,,,,,,,,,,,,
,06/02/2026 17:15,06/02/2026 17:15,XAUUSD,Sell,0.010,0.00000,0.00000,4503.02000,4502.88000,0.0000,0.0000,14.0,0.14,0.00,2911,00:00:00:09,,,,,,,,,,,,
,06/02/2026 17:15,06/02/2026 17:15,XAUUSD,Sell,0.020,0.00000,0.00000,4505.00000,4502.60000,0.0000,0.0000,240.0,4.75,0.04,2911,00:00:00:15,,,,,,,,,,,,
,06/02/2026 17:11,06/02/2026 17:12,XAUUSD,Sell,0.020,0.00000,0.00000,4504.49000,4504.38000,0.0000,0.0000,11.0,0.22,0.00,2911,00:00:01:42,,,,,,,,,,,,
,06/02/2026 17:09,06/02/2026 17:12,XAUUSD,Sell,0.010,0.00000,0.00000,4503.48000,4504.38000,0.0000,0.0000,-90.0,-0.89,-0.01,2911,00:00:03:44,,,,,,,,,,,,
,06/02/2026 17:12,06/02/2026 17:12,XAUUSD,Sell,0.010,0.00000,0.00000,4505.55000,4504.59000,0.0000,0.0000,96.0,0.95,0.01,2911,00:00:00:45,,,,,,,,,,,,
,06/02/2026 17:12,06/02/2026 17:12,XAUUSD,Sell,0.030,0.00000,0.00000,4506.54000,4504.53000,0.0000,0.0000,201.0,5.97,0.06,2911,00:00:00:50,,,,,,,,,,,,
,06/02/2026 17:07,06/02/2026 17:08,XAUUSD,Sell,0.020,0.00000,0.00000,4504.03000,4501.70000,0.0000,0.0000,233.0,4.61,0.04,2911,00:00:00:42,,,,,,,,,,,,
,06/02/2026 17:07,06/02/2026 17:08,XAUUSD,Sell,0.010,0.00000,0.00000,4502.99000,4501.60000,0.0000,0.0000,139.0,1.38,0.01,2911,00:00:00:58,,,,,,,,,,,,
,06/02/2026 17:08,06/02/2026 17:08,XAUUSD,Sell,0.010,0.00000,0.00000,4501.98000,4501.66000,0.0000,0.0000,32.0,0.32,0.00,2911,00:00:00:04,,,,,,,,,,,,
,06/02/2026 17:05,06/02/2026 17:06,XAUUSD,Sell,0.020,0.00000,0.00000,4503.51000,4502.55000,0.0000,0.0000,96.0,1.90,0.02,2911,00:00:01:18,,,,,,,,,,,,
,06/02/2026 17:05,06/02/2026 17:06,XAUUSD,Sell,0.010,0.00000,0.00000,4501.71000,4502.56000,0.0000,0.0000,-85.0,-0.84,-0.01,2911,00:00:01:30,,,,,,,,,,,,
,06/02/2026 17:06,06/02/2026 17:06,XAUUSD,Sell,0.030,0.00000,0.00000,4504.32000,4502.59000,0.0000,0.0000,173.0,5.14,0.05,2911,00:00:00:29,,,,,,,,,,,,
,06/02/2026 17:02,06/02/2026 17:04,XAUUSD,Sell,0.010,0.00000,0.00000,4501.89000,4503.83000,0.0000,0.0000,-194.0,-1.92,-0.02,2911,00:00:02:34,,,,,,,,,,,,
,06/02/2026 17:03,06/02/2026 17:04,XAUUSD,Sell,0.030,0.00000,0.00000,4504.63000,4503.88000,0.0000,0.0000,75.0,2.23,0.02,2911,00:00:01:40,,,,,,,,,,,,
,06/02/2026 17:02,06/02/2026 17:04,XAUUSD,Sell,0.020,0.00000,0.00000,4503.52000,4503.78000,0.0000,0.0000,-26.0,-0.51,0.00,2911,00:00:02:23,,,,,,,,,,,,
,06/02/2026 17:04,06/02/2026 17:04,XAUUSD,Sell,0.040,0.00000,0.00000,4505.46000,4503.79000,0.0000,0.0000,167.0,6.61,0.06,2911,00:00:00:27,,,,,,,,,,,,
,06/02/2026 16:59,06/02/2026 17:00,XAUUSD,Sell,0.010,0.00000,0.00000,4503.80000,4500.44000,0.0000,0.0000,336.0,3.33,0.03,2911,00:00:00:45,,,,,,,,,,,,
,06/02/2026 17:00,06/02/2026 17:00,XAUUSD,Sell,0.010,0.00000,0.00000,4497.74000,4499.51000,0.0000,0.0000,-177.0,-1.75,-0.02,2911,00:00:00:01,,,,,,,,,,,,
,06/02/2026 17:00,06/02/2026 17:00,XAUUSD,Sell,0.010,0.00000,0.00000,4502.76000,4500.49000,0.0000,0.0000,227.0,2.25,0.02,2911,00:00:00:03,,,,,,,,,,,,
,06/02/2026 16:55,06/02/2026 16:56,XAUUSD,Sell,0.020,0.00000,0.00000,4506.10000,4504.23000,0.0000,0.0000,187.0,3.70,0.03,2911,00:00:00:55,,,,,,,,,,,,
,06/02/2026 16:55,06/02/2026 16:56,XAUUSD,Sell,0.010,0.00000,0.00000,4504.98000,4504.23000,0.0000,0.0000,75.0,0.74,0.01,2911,00:00:01:30,,,,,,,,,,,,
,06/02/2026 16:56,06/02/2026 16:56,XAUUSD,Sell,0.010,0.00000,0.00000,4503.99000,4504.02000,0.0000,0.0000,-3.0,-0.03,0.00,2911,00:00:00:21,,,,,,,,,,,,
,06/02/2026 16:52,06/02/2026 16:54,XAUUSD,Sell,0.010,0.00000,0.00000,4508.03000,4508.74000,0.0000,0.0000,-71.0,-0.70,-0.01,2911,00:00:01:45,,,,,,,,,,,,
,06/02/2026 16:52,06/02/2026 16:54,XAUUSD,Sell,0.010,0.00000,0.00000,4509.39000,4508.68000,0.0000,0.0000,71.0,0.70,0.01,2911,00:00:02:09,,,,,,,,,,,,
,06/02/2026 16:53,06/02/2026 16:54,XAUUSD,Sell,0.020,0.00000,0.00000,4510.49000,4508.79000,0.0000,0.0000,170.0,3.37,0.03,2911,00:00:00:57,,,,,,,,,,,,
,06/02/2026 16:48,06/02/2026 16:51,XAUUSD,Sell,0.010,0.00000,0.00000,4509.09000,4510.75000,0.0000,0.0000,-166.0,-1.64,-0.02,2911,00:00:03:26,,,,,,,,,,,,
,06/02/2026 16:49,06/02/2026 16:51,XAUUSD,Sell,0.020,0.00000,0.00000,4510.12000,4510.76000,0.0000,0.0000,-64.0,-1.27,-0.01,2911,00:00:02:10,,,,,,,,,,,,
,06/02/2026 16:48,06/02/2026 16:51,XAUUSD,Sell,0.010,0.00000,0.00000,4507.95000,4510.75000,0.0000,0.0000,-280.0,-2.77,-0.03,2911,00:00:02:55,,,,,,,,,,,,
,06/02/2026 16:51,06/02/2026 16:51,XAUUSD,Sell,0.040,0.00000,0.00000,4513.54000,4510.76000,0.0000,0.0000,278.0,11.01,0.10,2911,00:00:00:32,,,,,,,,,,,,
,06/02/2026 16:50,06/02/2026 16:51,XAUUSD,Sell,0.030,0.00000,0.00000,4511.29000,4510.76000,0.0000,0.0000,53.0,1.57,0.01,2911,00:00:01:04,,,,,,,,,,,,
,06/02/2026 16:51,06/02/2026 16:51,XAUUSD,Sell,0.010,0.00000,0.00000,4512.40000,4510.70000,0.0000,0.0000,170.0,1.68,0.02,2911,00:00:00:25,,,,,,,,,,,,
,06/02/2026 16:44,06/02/2026 16:47,XAUUSD,Sell,0.010,0.00000,0.00000,4510.18000,4507.55000,0.0000,0.0000,263.0,2.60,0.02,2911,00:00:03:26,,,,,,,,,,,,
,06/02/2026 16:44,06/02/2026 16:47,XAUUSD,Sell,0.010,0.00000,0.00000,4507.72000,4506.93000,0.0000,0.0000,79.0,0.78,0.01,2911,00:00:02:54,,,,,,,,,,,,
,06/02/2026 16:44,06/02/2026 16:47,XAUUSD,Sell,0.010,0.00000,0.00000,4509.20000,4506.94000,0.0000,0.0000,226.0,2.24,0.02,2911,00:00:03:11,,,,,,,,,,,,
,06/02/2026 16:47,06/02/2026 16:47,XAUUSD,Sell,0.010,0.00000,0.00000,4506.73000,4506.91000,0.0000,0.0000,-18.0,-0.18,0.00,2911,00:00:00:00,,,,,,,,,,,,
,06/02/2026 16:37,06/02/2026 16:43,XAUUSD,Sell,0.010,0.00000,0.00000,4508.94000,4510.25000,0.0000,0.0000,-131.0,-1.30,-0.01,2911,00:00:06:04,83.4,5m,2302.0,0.06,2171.0,21.71,-131.0,-1.31,94.3,0.0,-2302.00,-23.02
,06/02/2026 16:37,06/02/2026 16:43,XAUUSD,Sell,0.010,0.00000,0.00000,4506.23000,4510.20000,0.0000,0.0000,-397.0,-3.93,-0.04,2911,00:00:05:42,83.4,4m,2297.0,0.21,1900.0,19.0,-397.0,-3.97,82.7,0.0,-2297.00,-22.97
,06/02/2026 16:37,06/02/2026 16:43,XAUUSD,Sell,0.010,0.00000,0.00000,4507.81000,4510.30000,0.0000,0.0000,-249.0,-2.47,-0.02,2911,00:00:05:54,83.4,4m,2307.0,0.12,2058.0,20.580000000000002,-249.0,-2.49,89.2,0.0,-2307.00,-23.07
,06/02/2026 16:39,06/02/2026 16:43,XAUUSD,Sell,0.020,0.00000,0.00000,4509.99000,4510.42000,0.0000,0.0000,-43.0,-0.85,-0.01,2911,00:00:04:02,75.0,3m,2125.0,0.02,2082.0,41.64,-43.0,-0.86,98.0,0.0,-2125.00,-42.50
,06/02/2026 16:41,06/02/2026 16:43,XAUUSD,Sell,0.040,0.00000,0.00000,4513.62000,4510.34000,0.0000,0.0000,328.0,12.99,0.12,2911,00:00:02:08,,,,,,,,,,,,
,06/02/2026 16:40,06/02/2026 16:43,XAUUSD,Sell,0.030,0.00000,0.00000,4510.31000,4510.48000,0.0000,0.0000,-17.0,-0.50,0.00,2911,00:00:03:08,,,,,,,,,,,,
