Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
03/18/2025 16:45,03/18/2025 17:39,BTCUSD,Sell,0.040,81369.16000,81870.69000,0.0000,0.0000,-501.5,-18.37,-0.59,"Master EA|BTCUSD|15m|Engulfing[sl 81867.04]",8,00:00:54:10,,,,,,,,,,,,
03/18/2025 16:31,03/18/2025 16:36,BTCUSD,Sell,0.040,82155.48000,81722.52000,0.0000,0.0000,433.0,15.87,0.51,"Master EA|BTCUSD|15m|High-Low B[tp 81714.89]",5,00:00:05:05,,,,,,,,,,,,
03/18/2025 10:15,03/18/2025 15:35,BTCUSD,Buy,0.030,82967.26000,82421.79000,0.0000,0.0000,-545.5,-15.00,-0.48,"Master EA|BTCUSD|15m|Engulfing[sl 82430.18]",8,00:05:20:03,,,,,,,,,,,,
03/18/2025 04:28,03/18/2025 11:18,XAUUSD,Buy,0.030,3005.07000,3021.01000,-0.2000,0.0000,1594.0,43.47,1.41,"Master EA|XAUUSD|15m|High-Low B[tp 3020.99]",0,00:06:50:06,,,,,,,,,,,,
03/18/2025 09:40,03/18/2025 10:09,BTCUSD,Sell,0.020,82376.00000,83281.64000,0.0000,0.0000,-905.6,-16.58,-0.54,"Master EA|BTCUSD|15m|High-Low B[sl 83253.78]",5,00:00:28:37,,,,,,,,,,,,
03/13/2025 20:00,03/18/2025 04:57,XAUUSD,Buy,0.010,2980.83000,3008.06000,-0.0600,-1.1500,2723.0,23.74,0.77,"Master EA|XAUUSD|4h|Engulfing[tp 3007.97]",4,04:08:57:56,80.0,3d 11h ,2368.0,0.00,5091.0,50.910000000000004,0.0,0.0,100.0,53.5,-2368.00,-23.68
03/17/2025 16:45,03/17/2025 17:36,US500,Buy,1.500,5668.70000,5646.20000,0.0000,0.0000,-90.0,-30.93,-1.00,"Master EA|US500|1h|High-Low Bre[sl 5646.27]",12,00:00:51:47,,,,,,,,,,,,
03/17/2025 17:05,03/17/2025 17:34,BTCUSD,Sell,0.040,82639.85000,83102.94000,0.0000,0.0000,-463.1,-16.98,-0.54,"Master EA|BTCUSD|15m|High-Low B[sl 83104.03]",5,00:00:28:32,,,,,,,,,,,,
03/17/2025 16:45,03/17/2025 17:03,BTCUSD,Buy,0.030,83447.02000,82783.03000,0.0000,0.0000,-664.0,-18.26,-0.58,"Master EA|BTCUSD|15m|Engulfing[sl 82787.33]",8,00:00:18:50,,,,,,,,,,,,
03/17/2025 16:45,03/17/2025 16:48,US500,Buy,2.000,5668.70000,5658.70000,0.0000,0.0000,-40.0,-18.35,-0.58,"Master EA|US500|30m|High-Low Br[sl 5658.40]",11,00:00:03:50,,,,,,,,,,,,
03/17/2025 15:15,03/17/2025 15:30,BTCUSD,Sell,0.030,83322.02000,83983.73000,0.0000,0.0000,-661.7,-18.22,-0.57,"Master EA|BTCUSD|15m|Engulfing[sl 83850.21]",8,00:00:15:19,,,,,,,,,,,,
