Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
01/22/2026 09:40,01/26/2026 16:33,USDMXN,Sell,17.47140,17.32300,-1.0000,0.4700,1484.0,170.81,0.17,04:06:53:52,88.9,3d 19h ,1033.7,0.15,1814.0,217.67999999999998,-279.7,-33.564,86.6,84.2,-330.00,-39.60
01/19/2026 09:06,01/26/2026 16:33,USDMXN,Sell,17.62540,17.32280,-1.0000,1.8200,3026.0,350.26,0.35,07:07:27:20,93.5,6d 20h ,911.0,0.10,3454.6,414.55199999999996,-346.5,-41.58,90.9,88.7,-428.60,-51.43
01/13/2026 09:44,01/15/2026 09:30,EURUSD,Sell,1.16598,1.16272,-1.2200,2.3300,32.6,69.57,0.07,01:23:45:39,86.3,1d 17h ,24.9,0.38,32.8,68.88,-12.6,-26.46,72.2,99.6,-0.20,-0.42
01/13/2026 09:39,01/15/2026 09:29,GBPCHF,Buy,1.07437,1.07618,-1.0100,7.2900,18.1,40.15,0.04,01:23:50:07,89.6,1d 18h ,61.9,0.17,52.8,98.736,-9.1,-17.017,85.3,43.9,-34.70,-64.89
01/13/2026 09:42,01/15/2026 09:29,AUDCHF,Buy,0.53510,0.53550,-0.7400,5.6400,4.0,15.88,0.02,01:23:47:27,38.8,18h 32m,51.8,1.27,22.8,62.7,-29.0,-79.75,44.0,63.7,-18.80,-51.70
01/14/2026 09:21,01/15/2026 09:29,USDMXN,Sell,17.80840,17.80460,-0.7500,-0.9500,38.0,1.51,0.00,01:00:08:29,50.2,12h 7m,372.5,0.70,305.5,24.44,-212.5,-17.0,59.0,48.4,-267.50,-21.40
11/17/2025 11:35,01/13/2026 09:30,USDMXN,Sell,18.31160,17.92550,-0.7500,4.7700,3861.0,327.05,0.33,56:21:54:53,80.4,45d 18h ,2159.7,0.50,4326.0,346.08,-2159.7,-172.77599999999998,66.7,92.8,-465.00,-37.20
09/26/2025 09:15,01/13/2026 09:30,GBPCHF,Buy,1.06729,1.07431,-0.6000,100.8800,70.2,179.48,0.18,109:00:14:36,30.9,33d 16h ,365.3,3.07,89.7,101.36099999999999,-275.6,-311.428,24.6,94.7,-19.50,-22.03
12/11/2025 09:11,01/13/2026 09:30,EURUSD,Sell,1.16927,1.16613,-1.4000,18.4900,31.4,92.45,0.09,33:00:18:35,21.3,7d ,112.4,1.63,68.8,165.11999999999998,-112.4,-269.76,38.0,79.4,-37.40,-89.76
12/12/2025 09:21,01/13/2026 09:30,USDMXN,Sell,18.00920,17.92580,-0.7500,-3.9900,834.0,65.06,0.06,32:00:09:05,83.8,26d 19h ,1511.3,0.32,1362.3,108.984,-435.4,-34.832,75.8,70.6,-528.30,-42.26
01/12/2026 09:13,01/13/2026 09:30,CADCHF,Buy,0.57421,0.57475,-0.7900,0.5500,5.4,14.66,0.01,01:00:17:15,73.3,17h 48m,21.7,1.70,8.9,24.564,-15.1,-41.675999999999995,37.1,85.4,-3.50,-9.66
