Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,04/16/2025 01:30,04/16/2025 08:23,XAUUSD,Buy,2.810,0.00000,0.00000,3262.87000,3310.29000,0.0000,0.0000,4742.0,13325.30,1.42,"XAU ZC-03 HL 8",6551,00:06:53:14,98.1,6h 45m,1275.0,0.10,5392.0,15151.52,-540.0,-1517.4,90.9,89.0,-650.00,-1826.50
,04/16/2025 08:14,04/16/2025 08:23,XAUUSD,Buy,1.580,0.00000,0.00000,3309.96000,3310.53000,0.0000,0.0000,57.0,90.06,0.01,"XAU ZC-03 HL 10",6553,00:00:08:25,100.0,8m,626.0,0.00,683.0,1079.14,0.0,0.0,100.0,8.3,-626.00,-989.08
,04/15/2025 22:50,04/16/2025 01:29,XAUUSD,Buy,2.790,0.00000,0.00000,3240.14000,3265.37000,0.0000,0.0000,2523.0,7039.17,0.76,"XAU ZC-03 HL 3",6546,00:02:39:12,93.1,2h 28m,837.0,0.04,3312.0,9240.48,-130.0,-362.7,96.2,77.1,-789.00,-2201.31
,04/16/2025 00:30,04/16/2025 01:29,XAUUSD,Buy,2.090,0.00000,0.00000,3263.02000,3265.47000,0.0000,0.0000,245.0,512.26,0.06,"XAU ZC-03 HL 8",6551,00:00:59:06,100.0,59m,837.0,0.00,1024.0,2140.16,0.0,0.0,100.0,23.9,-779.00,-1628.11
,04/14/2025 08:18,04/14/2025 12:41,XAUUSD,Buy,2.800,0.00000,0.00000,3217.37000,3200.71000,0.0000,0.0000,-1666.0,-4666.20,-0.50,"XAU ZC-03 HL 4",6547,00:04:22:27,76.9,3h 21m,3007.0,1.24,1341.0,3754.7999999999997,-1666.0,-4664.799999999999,44.6,0.0,-3007.00,-8419.60
,04/11/2025 16:55,04/14/2025 02:21,XAUUSD,Buy,4.630,0.00000,0.00000,3220.20000,3235.90000,0.0000,0.0000,1570.0,7267.71,0.78,"XAU ZC-01 HL 4",6547,02:09:25:57,97.9,2d 8h ,2755.0,0.40,2457.0,11375.91,-987.0,-4569.8099999999995,71.3,74.2,-887.00,-4106.81
,04/11/2025 13:55,04/11/2025 16:25,XAUUSD,Buy,3.450,0.00000,0.00000,3221.02000,3239.45000,0.0000,0.0000,1843.0,6359.04,0.69,"XAU ZC-01 HL 4",6547,00:02:29:12,100.0,2h 29m,1235.0,0.00,2329.0,8035.05,0.0,0.0,100.0,79.1,-486.00,-1676.70
,04/11/2025 13:35,04/11/2025 16:25,XAUUSD,Buy,4.600,0.00000,0.00000,3238.92000,3239.45000,0.0000,0.0000,53.0,243.80,0.03,"XAU ZC-01 HL 3",6546,00:02:49:38,33.6,56m,1946.0,3.31,539.0,2479.3999999999996,-1784.0,-8206.4,23.2,79.1,-486.00,-2235.60
,04/11/2025 08:26,04/11/2025 13:35,XAUUSD,Buy,4.560,0.00000,0.00000,3221.05000,3238.12000,0.0000,0.0000,1707.0,7785.29,0.85,"XAU ZC-01 HL 4",6547,00:05:08:54,47.6,2h 27m,2343.0,0.44,2196.0,10013.759999999998,-974.0,-4441.44,69.3,84.6,-489.00,-2229.84
,04/11/2025 13:32,04/11/2025 13:35,XAUUSD,Buy,3.420,0.00000,0.00000,3240.70000,3238.19000,0.0000,0.0000,-251.0,-858.42,-0.09,"XAU ZC-01 HL 3",6546,00:00:02:27,,,,,,,,,,,,
