Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(JPY),Min(pips),Min(JPY),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(JPY)
03/30/2026 08:49,03/30/2026 16:58,XAUUSD,Buy,4517.21000,4516.85000,0.0000,0.0000,-36.0,-230.00,0.00,00:08:09:21,99.0,8h 4m,5711.0,0.01,5675.0,36263.25,-36.0,-230.04,99.4,0.0,-5711.00,-36493.29
03/30/2026 06:23,03/30/2026 06:37,XAUUSD,Buy,4518.50000,4504.02000,0.0000,0.0000,-1448.0,-9255.00,-0.10,00:00:14:03,,,,,,,,,,,,
03/25/2026 02:16,03/25/2026 22:00,XAUUSD,Buy,4488.49000,4536.19000,0.0000,0.0000,4770.0,98876.00,1.09,00:19:43:45,100.0,19h 43m,9066.0,0.00,10538.0,218452.74,0.0,0.0,100.0,45.3,-5768.00,-119570.64
03/24/2026 23:25,03/25/2026 20:00,XAUUSD,Buy,4480.38000,4554.23000,0.0000,-316.0000,7385.0,34966.00,0.39,00:20:34:18,100.0,20h 34m,9484.0,0.00,11767.0,56246.26,0.0,0.0,100.0,62.8,-4382.00,-20945.96
03/25/2026 09:07,,,Deposit,0.00000,0.00000,0.0000,0.0000,0.0,1272974.00,0,00:00:00:00,,,,,,,,,,,,
03/18/2026 06:04,03/18/2026 23:52,XAUUSD,Sell,4987.74000,4824.72000,0.0000,0.0000,16302.0,521260.00,7.22,00:17:48:15,78.0,13h 53m,5750.0,0.15,17843.0,570619.14,-2720.0,-86985.6,86.8,92.5,-1541.00,-49281.18
03/18/2026 13:35,03/18/2026 16:18,XAUUSD,Sell,4974.41000,4835.09000,0.0000,0.0000,13932.0,177809.00,2.52,00:02:42:44,100.0,2h 42m,3301.0,0.00,13932.0,177772.32,0.0,0.0,100.0,100.0,0.00,0.00
03/13/2026 17:55,03/16/2026 20:00,XAUUSD,Sell,5045.27000,4992.34000,0.0000,673.0000,5293.0,84972.00,1.22,03:02:04:39,99.6,3d 1h ,5933.0,0.03,7100.0,113103.0,-230.0,-3663.9,96.9,75.3,-1807.00,-28785.51
03/13/2026 17:56,03/16/2026 15:00,XAUUSD,Sell,5044.68000,4997.39000,0.0000,269.0000,4729.0,30366.00,0.44,02:21:03:53,99.6,2d 20h ,5933.0,0.04,7041.0,44780.76,-289.0,-1838.0400000000002,96.1,68.5,-2312.00,-14704.32
03/10/2026 04:47,03/10/2026 21:19,XAUUSD,Buy,5169.81000,5166.95000,0.0000,0.0000,-286.0,-1807.00,-0.03,00:16:31:57,91.5,15h 7m,6862.0,0.18,6576.0,41560.32,-1206.0,-7621.92,84.5,11.8,-6862.00,-43367.84
