Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
05/25/2026 22:15,05/25/2026 22:55,XAUUSD,Buy,0.250,4573.53000,4576.53000,0.0000,0.0000,300.0,75.00,0.28,00:00:40:02,61.0,24m,498.0,1.17,300.0,75.0,-352.0,-88.0,46.0,100.0,0.00,0.00
05/25/2026 16:00,05/25/2026 17:40,XAUUSD,Sell,0.120,4571.02000,4568.02000,0.0000,0.0000,300.0,36.00,0.13,00:01:40:26,53.5,53m,798.0,1.22,436.0,52.32,-530.0,-63.599999999999994,45.1,85.9,-136.00,-16.32
05/25/2026 15:15,05/25/2026 15:37,XAUUSD,Sell,0.120,4570.39000,4567.39000,0.0000,0.0000,300.0,36.00,0.13,00:00:22:47,30.5,6m,577.0,1.20,315.0,37.8,-378.0,-45.36,45.5,97.8,-15.00,-1.80
05/25/2026 09:45,05/25/2026 12:07,XAUUSD,Sell,0.120,4565.83000,4562.83000,0.0000,0.0000,300.0,36.00,0.13,00:02:22:00,6.4,9m,1055.0,3.27,313.0,37.559999999999995,-1024.0,-122.88,23.4,99.0,-13.00,-1.56
05/24/2026 22:31,05/25/2026 05:30,XAUUSD,Sell,0.120,4556.76000,4553.76000,0.0000,0.0000,300.0,36.00,0.13,00:06:59:11,2.0,8m,2224.0,5.82,382.0,45.839999999999996,-2224.0,-266.88,14.7,96.9,-82.00,-9.84
05/24/2026 23:15,05/24/2026 23:24,XAUUSD,Buy,0.240,4575.08000,4577.05000,0.0000,0.0000,197.0,47.31,0.18,00:00:09:05,50.0,4m,160.0,0.47,218.0,52.32,-103.0,-24.72,67.9,93.5,-21.00,-5.04
05/24/2026 22:15,05/24/2026 22:31,XAUUSD,Buy,0.250,4555.71000,4558.71000,0.0000,0.0000,300.0,75.00,0.28,00:00:16:10,17.7,2m,619.0,1.95,317.0,79.25,-619.0,-154.75,33.9,98.2,-17.00,-4.25
05/24/2026 22:16,05/24/2026 22:16,XAUUSD,Sell,0.120,4554.12000,4551.12000,0.0000,0.0000,300.0,36.00,0.13,00:00:00:54,,,,,,,,,,,,
05/21/2026 23:15,05/24/2026 22:02,XAUUSD,Buy,0.240,4544.23000,4546.78000,0.0000,0.0000,255.0,61.08,0.23,02:22:47:05,0.3,12m,5032.0,8.13,619.0,148.56,-5032.0,-1207.68,11.0,93.6,-364.00,-87.36
05/21/2026 22:15,05/24/2026 22:01,XAUUSD,Buy,0.250,4542.39000,4545.39000,0.0000,0.0000,300.0,75.00,0.28,02:23:46:30,0.9,38m,4979.0,6.04,803.0,200.75,-4848.0,-1212.0,14.2,91.1,-503.00,-125.75
05/22/2026 17:30,05/22/2026 17:31,XAUUSD,Sell,0.120,4526.32000,4523.32000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:58,,,,,,,,,,,,
05/22/2026 04:45,05/22/2026 05:03,XAUUSD,Sell,0.120,4528.88000,4525.88000,0.0000,0.0000,300.0,36.00,0.14,00:00:18:24,79.0,14m,160.0,0.22,431.0,51.72,-94.0,-11.28,82.1,75.0,-131.00,-15.72
05/22/2026 04:30,05/22/2026 04:36,XAUUSD,Sell,0.120,4532.05000,4529.05000,0.0000,0.0000,300.0,36.00,0.14,00:00:06:09,100.0,6m,116.0,0.00,416.0,49.92,0.0,0.0,100.0,72.1,-116.00,-13.92
05/21/2026 09:15,05/21/2026 09:34,XAUUSD,Sell,0.120,4537.60000,4534.60000,0.0000,0.0000,300.0,36.00,0.14,00:00:19:42,40.0,7m,421.0,1.40,300.0,36.0,-421.0,-50.519999999999996,41.6,100.0,0.00,0.00
05/21/2026 01:15,05/21/2026 02:05,XAUUSD,Sell,0.120,4560.08000,4557.08000,0.0000,0.0000,300.0,36.00,0.14,00:00:50:23,21.6,10m,1120.0,3.20,300.0,36.0,-959.0,-115.08,23.8,100.0,0.00,0.00
05/21/2026 00:15,05/21/2026 00:18,XAUUSD,Sell,0.120,4544.72000,4541.72000,0.0000,0.0000,300.0,36.00,0.14,00:00:03:39,,,,,,,,,,,,
05/20/2026 23:15,05/20/2026 23:39,XAUUSD,Buy,0.240,4540.16000,4543.71000,0.0000,0.0000,355.0,85.15,0.32,00:00:24:45,32.0,7m,575.0,1.07,508.0,121.92,-545.0,-130.79999999999998,48.2,85.5,-153.00,-36.72
05/20/2026 22:15,05/20/2026 22:46,XAUUSD,Buy,0.240,4540.58000,4543.58000,0.0000,0.0000,300.0,72.00,0.27,00:00:31:10,50.0,15m,518.0,1.54,337.0,80.88,-518.0,-124.32,39.4,95.7,-37.00,-8.88
05/20/2026 12:30,05/20/2026 12:56,XAUUSD,Sell,0.120,4499.54000,4496.54000,0.0000,0.0000,300.0,36.00,0.14,00:00:26:46,14.9,3m,540.0,1.80,300.0,36.0,-540.0,-64.8,35.7,100.0,0.00,0.00
05/20/2026 12:00,05/20/2026 12:16,XAUUSD,Sell,0.120,4498.91000,4495.91000,0.0000,0.0000,300.0,36.00,0.14,00:00:16:39,76.5,12m,312.0,0.61,300.0,36.0,-182.0,-21.84,62.2,100.0,0.00,0.00
05/20/2026 11:30,05/20/2026 11:37,XAUUSD,Sell,0.120,4499.78000,4496.78000,0.0000,0.0000,300.0,36.00,0.14,00:00:07:54,100.0,7m,108.0,0.00,322.0,38.64,0.0,0.0,100.0,93.2,-22.00,-2.64
05/20/2026 11:00,05/20/2026 11:21,XAUUSD,Sell,0.120,4494.43000,4491.43000,0.0000,0.0000,300.0,36.00,0.14,00:00:21:10,36.4,7m,286.0,0.50,300.0,36.0,-151.0,-18.12,66.5,100.0,0.00,0.00
05/20/2026 08:30,05/20/2026 08:33,XAUUSD,Sell,0.120,4486.87000,4483.87000,0.0000,0.0000,300.0,36.00,0.14,00:00:03:42,,,,,,,,,,,,
05/20/2026 08:15,05/20/2026 08:21,XAUUSD,Sell,0.120,4482.30000,4479.30000,0.0000,0.0000,300.0,36.00,0.14,00:00:06:43,100.0,6m,100.0,0.00,300.0,36.0,0.0,0.0,100.0,100.0,0.00,0.00
05/20/2026 07:45,05/20/2026 07:46,XAUUSD,Sell,0.120,4481.54000,4478.54000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:48,,,,,,,,,,,,
05/20/2026 07:30,05/20/2026 07:33,XAUUSD,Sell,0.120,4482.53000,4479.53000,0.0000,0.0000,300.0,36.00,0.14,00:00:03:04,,,,,,,,,,,,
05/20/2026 07:15,05/20/2026 07:16,XAUUSD,Sell,0.120,4481.27000,4478.27000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:51,,,,,,,,,,,,
05/20/2026 00:30,05/20/2026 00:58,XAUUSD,Sell,0.120,4501.59000,4498.59000,0.0000,0.0000,300.0,36.00,0.14,00:00:28:54,24.2,6m,503.0,1.61,300.0,36.0,-483.0,-57.96,38.3,100.0,0.00,0.00
05/19/2026 23:45,05/19/2026 23:58,XAUUSD,Sell,0.120,4492.12000,4489.12000,0.0000,0.0000,300.0,36.00,0.14,00:00:13:45,57.2,7m,389.0,0.59,318.0,38.16,-188.0,-22.56,62.8,96.4,-18.00,-2.16
05/19/2026 23:15,05/19/2026 23:31,XAUUSD,Buy,0.240,4486.01000,4488.23000,0.0000,0.0000,222.0,53.45,0.21,00:00:16:03,88.3,14m,183.0,0.81,225.0,54.0,-183.0,-43.92,55.1,99.3,-3.00,-0.72
05/19/2026 22:15,05/19/2026 23:11,XAUUSD,Buy,0.230,4483.34000,4486.34000,0.0000,0.0000,300.0,69.00,0.27,00:00:56:50,17.9,10m,569.0,1.90,300.0,69.0,-569.0,-130.87,34.5,100.0,0.00,0.00
05/19/2026 08:00,05/19/2026 08:00,XAUUSD,Sell,0.120,4558.36000,4555.36000,0.0000,0.0000,300.0,36.00,0.14,00:00:00:50,,,,,,,,,,,,
05/18/2026 20:15,05/19/2026 01:00,XAUUSD,Sell,0.120,4562.01000,4559.01000,0.0000,0.0000,300.0,36.00,0.14,00:04:45:15,0.4,1m,2663.0,8.88,300.0,36.0,-2663.0,-319.56,10.1,100.0,0.00,0.00
05/18/2026 23:15,05/18/2026 23:22,XAUUSD,Buy,0.240,4585.80000,4588.06000,0.0000,0.0000,226.0,54.32,0.21,00:00:07:30,50.0,3m,194.0,0.83,233.0,55.919999999999995,-194.0,-46.559999999999995,54.6,98.4,-7.00,-1.68
05/18/2026 13:30,05/18/2026 13:30,XAUUSD,Sell,0.120,4572.25000,4569.25000,0.0000,0.0000,300.0,36.00,0.14,00:00:00:04,,,,,,,,,,,,
05/18/2026 12:45,05/18/2026 12:52,XAUUSD,Sell,0.120,4569.77000,4566.77000,0.0000,0.0000,300.0,36.00,0.14,00:00:07:29,50.0,3m,280.0,0.48,505.0,60.599999999999994,-242.0,-29.04,67.6,72.6,-205.00,-24.60
05/18/2026 11:45,05/18/2026 11:46,XAUUSD,Sell,0.120,4562.47000,4559.47000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:05,,,,,,,,,,,,
05/18/2026 07:30,05/18/2026 07:48,XAUUSD,Sell,0.120,4550.38000,4547.38000,0.0000,0.0000,300.0,36.00,0.14,00:00:18:16,31.6,5m,510.0,1.57,324.0,38.879999999999995,-510.0,-61.199999999999996,38.8,97.1,-24.00,-2.88
05/18/2026 05:30,05/18/2026 05:31,XAUUSD,Sell,0.120,4548.73000,4545.73000,0.0000,0.0000,300.0,36.00,0.14,00:00:01:46,,,,,,,,,,,,
05/18/2026 03:45,05/18/2026 03:45,XAUUSD,Sell,0.120,4545.39000,4542.39000,0.0000,0.0000,300.0,36.00,0.14,00:00:00:58,,,,,,,,,,,,
05/17/2026 23:15,05/18/2026 03:44,XAUUSD,Buy,0.240,4541.72000,4544.33000,0.0000,0.0000,261.0,62.67,0.25,00:04:29:16,2.6,7m,6173.0,15.85,379.0,90.96,-6001.0,-1440.24,5.9,98.2,-118.00,-28.32
05/15/2026 18:15,05/15/2026 18:17,XAUUSD,Sell,0.120,4561.79000,4558.79000,0.0000,0.0000,300.0,36.00,0.14,00:00:02:45,,,,,,,,,,,,
05/15/2026 15:00,05/15/2026 15:00,XAUUSD,Sell,0.120,4563.01000,4560.01000,0.0000,0.0000,300.0,36.00,0.14,00:00:00:28,,,,,,,,,,,,
05/14/2026 23:15,05/14/2026 23:28,XAUUSD,Buy,0.240,4659.67000,4662.01000,0.0000,0.0000,234.0,56.21,0.22,00:00:13:19,28.6,3m,334.0,1.20,279.0,66.96,-334.0,-80.16,45.5,92.7,-45.00,-10.80
05/14/2026 13:30,05/14/2026 14:16,XAUUSD,Buy,0.120,4688.15000,4691.15000,0.0000,0.0000,300.0,36.00,0.14,00:00:46:57,14.9,6m,1832.0,4.38,413.0,49.559999999999995,-1810.0,-217.2,18.6,94.9,-113.00,-13.56
