Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
04/17/2026 04:12,04/17/2026 04:13,XAUUSD,Sell,0.020,4781.66000,0.00000,4771.99000,4781.70000,-0.1200,0.0000,-971.0,-19.54,-2.44,"Gold G system[sl 4781.66]",00:00:01:15,,,,,,,,,,,,
04/16/2026 16:52,04/16/2026 17:08,XAUUSD,Sell,0.020,4798.02000,0.00000,4803.33000,4798.18000,-0.1200,0.0000,515.0,10.18,1.29,"Gold G system[sl 4798.02]",00:00:15:55,6.3,1m,0.0,0.00,515.0,10.3,0.0,0.0,100.0,100.0,0.00,0.00
04/16/2026 16:55,04/16/2026 16:56,XAUUSD,Sell,0.020,4795.62000,0.00000,4786.23000,4795.89000,-0.1200,0.0000,-966.0,-19.44,-2.40,"Gold G system",00:00:00:40,,,,,,,,,,,,
04/16/2026 08:06,04/16/2026 08:34,XAUUSD,Buy,0.020,4828.14000,0.00000,4837.90000,4828.05000,-0.1200,0.0000,-985.0,-19.82,-2.38,"Gold G system",00:00:28:08,0.0,0s,3008.0,3333.33,0.0,0.0,-3008.0,-60.160000000000004,0.0,67.3,-985.00,-19.70
04/16/2026 03:00,04/16/2026 04:16,XAUUSD,Buy,0.020,4827.50000,0.00000,4830.68000,4827.48000,-0.1200,0.0000,-320.0,-6.52,-0.78,"Gold G system[sl 4827.50]",00:01:15:46,0.0,0s,850.0,909.09,0.0,0.0,-850.0,-17.0,0.0,62.4,-320.00,-6.40
04/15/2026 08:37,04/15/2026 08:56,XAUUSD,Sell,0.020,4823.98000,0.00000,4816.47000,4824.01000,-0.1200,0.0000,-754.0,-15.20,-1.78,"Gold G system[sl 4823.98]",00:00:19:04,94.8,18m,1467.0,1.06,713.0,14.26,-754.0,-15.08,48.6,0.0,-1467.00,-29.34
04/15/2026 04:11,04/15/2026 04:20,XAUUSD,Buy,0.020,4861.16000,0.00000,4852.95000,4860.80000,-0.1200,0.0000,785.0,15.58,1.86,"Gold G system[sl 4861.16]",00:00:08:43,11.2,58s,0.0,0.00,785.0,15.700000000000001,0.0,0.0,100.0,100.0,0.00,0.00
04/14/2026 16:37,04/14/2026 16:39,XAUUSD,Buy,0.020,4790.58000,0.00000,4796.78000,4790.07000,-0.1200,0.0000,-671.0,-13.54,-1.59,"Gold G system[sl 4790.58]",00:00:02:14,,,,,,,,,,,,
04/14/2026 09:52,04/14/2026 10:20,XAUUSD,Buy,0.020,4784.77000,0.00000,4777.11000,4784.31000,-0.1200,0.0000,720.0,14.28,1.71,"Gold G system[sl 4784.77]",00:00:27:39,100.0,27m,424.0,0.00,987.0,19.740000000000002,0.0,0.0,100.0,72.9,-267.00,-5.34
04/14/2026 01:02,04/14/2026 02:29,XAUUSD,Buy,0.020,4756.74000,0.00000,4751.85000,4756.45000,-0.1200,0.0000,460.0,9.08,1.10,"Gold G system",00:01:27:13,100.0,1h 27m,2025.0,0.00,2485.0,49.7,0.0,0.0,100.0,18.5,-2025.00,-40.50
