Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
04/29/2026 12:50,04/29/2026 13:00,XAUUSD,Sell,4553.02000,4555.60000,-0.4800,0.0000,-258.0,-21.12,-0.43,00:00:09:34,90.0,8m,1251.0,0.26,993.0,79.44,-258.0,-20.64,79.4,0.0,-1251.00,-100.08
04/28/2026 16:16,,,Withdrawal,0.00000,0.00000,0.0000,0.0000,0.0,-2000.00,0,00:00:00:00,,,,,,,,,,,,
04/28/2026 12:23,04/28/2026 14:40,XAUUSD,Sell,4614.37000,4572.51000,-0.7200,0.0000,4186.0,501.60,7.83,00:02:17:36,100.0,2h 17m,2520.0,0.00,5643.0,677.16,0.0,0.0,100.0,74.2,-1457.00,-174.84
04/28/2026 08:30,04/28/2026 09:23,XAUUSD,Sell,4657.47000,4625.08000,-0.7200,0.0000,3239.0,387.96,6.45,00:00:53:48,1.9,1m,0.0,0.00,3239.0,388.68,0.0,0.0,100.0,100.0,0.00,0.00
04/28/2026 08:06,04/28/2026 09:23,XAUUSD,Sell,4649.80000,4624.86000,-0.7200,0.0000,2494.0,298.56,5.22,00:01:17:24,1.3,1m,0.0,0.00,2494.0,299.28,0.0,0.0,100.0,100.0,0.00,0.00
04/28/2026 08:40,04/28/2026 09:23,XAUUSD,Sell,4632.15000,4625.41000,-0.7200,0.0000,674.0,80.16,1.42,00:00:43:32,2.4,1m,0.0,0.00,674.0,80.88,0.0,0.0,100.0,100.0,0.00,0.00
04/28/2026 08:06,04/28/2026 09:00,XAUUSD,Sell,4654.12000,4631.72000,-0.7200,0.0000,2240.0,268.08,4.99,00:00:53:35,1.9,1m,0.0,0.00,2240.0,268.8,0.0,0.0,100.0,100.0,0.00,0.00
04/28/2026 08:06,04/28/2026 08:20,XAUUSD,Sell,4655.56000,4658.92000,-0.7200,0.0000,-336.0,-41.04,-0.76,00:00:13:56,0.0,0s,336.0,344.83,0.0,0.0,-336.0,-40.32,0.0,0.0,-336.00,-40.32
04/28/2026 08:06,04/28/2026 08:20,XAUUSD,Sell,4652.50000,4657.96000,-0.7200,0.0000,-546.0,-66.24,-1.21,00:00:13:50,0.0,0s,546.0,555.56,0.0,0.0,-546.0,-65.52,0.0,0.0,-546.00,-65.52
04/28/2026 08:06,04/28/2026 08:20,XAUUSD,Sell,4660.28000,4657.97000,-0.7200,0.0000,231.0,27.00,0.50,00:00:13:56,7.2,1m,0.0,0.00,231.0,27.72,0.0,0.0,100.0,100.0,0.00,0.00
04/27/2026 18:02,04/27/2026 22:30,XAUUSD,Sell,4670.02000,4682.35000,-0.7200,0.0000,-1233.0,-148.68,-2.66,00:04:27:28,0.0,0s,2065.0,2500.00,0.0,0.0,-2065.0,-247.79999999999998,0.0,40.3,-1233.00,-147.96
04/24/2026 14:24,04/24/2026 22:30,XAUUSD,Buy,4711.80000,4718.94000,-0.7200,0.0000,714.0,84.96,1.54,00:08:05:29,70.0,5h 39m,2978.0,0.45,2059.0,247.07999999999998,-919.0,-110.28,69.1,54.8,-1345.00,-161.40
04/24/2026 07:22,04/24/2026 08:00,XAUUSD,Sell,4664.25000,4674.94000,-0.7200,0.0000,-1069.0,-129.00,-2.29,00:00:37:50,0.0,0s,2809.0,3333.33,0.0,0.0,-2809.0,-337.08,0.0,61.9,-1069.00,-128.28
04/23/2026 20:46,04/23/2026 21:00,XAUUSD,Sell,4665.97000,4711.07000,-0.7800,0.0000,-4510.0,-587.08,-9.43,00:00:13:16,0.0,0s,4510.0,5000.00,0.0,0.0,-4510.0,-586.3000000000001,0.0,0.0,-4510.00,-586.30
04/23/2026 20:46,04/23/2026 20:47,XAUUSD,Sell,4666.21000,4675.75000,-0.7800,0.0000,-954.0,-124.80,-1.96,00:00:00:55,,,,,,,,,,,,
04/23/2026 20:46,04/23/2026 20:47,XAUUSD,Sell,4665.39000,4676.09000,-0.7800,0.0000,-1070.0,-139.88,-2.15,00:00:00:53,,,,,,,,,,,,
04/23/2026 20:46,04/23/2026 20:47,XAUUSD,Sell,4666.98000,4676.21000,-0.7800,0.0000,-923.0,-120.77,-1.83,00:00:00:56,,,,,,,,,,,,
04/23/2026 20:45,04/23/2026 20:47,XAUUSD,Sell,4671.84000,4675.30000,-0.7800,0.0000,-346.0,-45.76,-0.69,00:00:02:03,,,,,,,,,,,,
04/23/2026 10:25,04/23/2026 10:30,XAUUSD,Buy,4705.31000,4705.69000,-0.7800,0.0000,38.0,4.16,0.06,00:00:05:00,20.0,1m,2000.0,52.63,38.0,4.94,-2000.0,-260.0,1.9,100.0,0.00,0.00
04/22/2026 08:30,04/22/2026 12:02,XAUUSD,Buy,4766.50000,4759.97000,-0.7800,0.0000,-653.0,-85.67,-1.27,00:03:32:24,0.0,0s,1403.0,1428.57,0.0,0.0,-1403.0,-182.39000000000001,0.0,53.5,-653.00,-84.89
04/22/2026 08:20,04/22/2026 08:30,XAUUSD,Sell,4769.23000,4766.13000,-0.7800,0.0000,310.0,39.52,0.59,00:00:10:00,100.0,10m,1186.0,0.00,1496.0,194.48000000000002,0.0,0.0,100.0,20.7,-1186.00,-154.18
04/21/2026 22:45,04/21/2026 22:50,XAUUSD,Buy,4672.50000,4683.89000,-0.7800,0.0000,1139.0,147.29,2.25,00:00:04:59,100.0,4m,3406.0,0.00,4545.0,590.85,0.0,0.0,100.0,25.1,-3406.00,-442.78
04/21/2026 15:30,04/21/2026 18:04,XAUUSD,Sell,4768.34000,4735.37000,-0.7800,0.0000,3297.0,427.83,6.98,00:02:34:01,100.0,2h 34m,3722.0,0.00,7019.0,912.47,0.0,0.0,100.0,47.0,-3722.00,-483.86
04/21/2026 17:46,04/21/2026 18:00,XAUUSD,Sell,4732.93000,4739.93000,-0.7800,0.0000,-700.0,-91.78,-1.48,00:00:13:21,92.9,12m,3296.0,0.27,2596.0,337.48,-700.0,-91.0,78.8,0.0,-3296.00,-428.48
04/21/2026 08:30,04/21/2026 16:00,XAUUSD,Sell,4787.91000,4779.93000,-0.7800,0.0000,798.0,102.96,1.68,00:07:30:00,79.6,5h 58m,2687.0,0.41,2251.0,292.63,-914.0,-118.82000000000001,71.1,54.1,-1453.00,-188.89
04/18/2026 02:33,,,Withdrawal,0.00000,0.00000,0.0000,0.0000,0.0,-3000.00,0,00:00:00:00,,,,,,,,,,,,
