Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
12/11/2025 18:30,12/11/2025 18:41,NAS100,Sell,0.010,25546.20000,25296.20000,25446.00000,25547.00000,0.0000,0.0000,-101.0,-10.12,-2.17,"MTL-8315M0FF sell-main[sl]",00:00:11:54,,,,,,,,,,,,
12/10/2025 18:30,12/10/2025 21:34,NAS100,Sell,0.010,25724.80000,25474.80000,25625.00000,25725.00000,0.0000,0.0000,-100.0,-10.05,-2.11,"MTL-8315M0FF sell-main",00:03:04:10,,,,,,,,,,,,
12/09/2025 18:30,12/10/2025 16:35,NAS100,Buy,0.010,25567.50000,25817.50000,25668.00000,25567.00000,0.0000,0.0000,-101.0,-10.03,-2.06,"MTL-8315M0FF buy-main",00:22:05:49,,,,,,,,,,,,
12/08/2025 18:30,12/08/2025 22:59,NAS100,Sell,0.010,25617.50000,25468.90000,25634.00000,25618.00000,0.0000,0.0000,16.0,1.59,0.33,"MTL-8315M0FF sell-main",00:04:29:13,,,,,,,,,,,,
12/05/2025 18:30,12/08/2025 16:42,NAS100,Buy,0.010,25756.00000,25904.00000,25664.00000,25755.00000,0.0000,0.0000,91.0,9.11,1.91,"MTL-8315M0FF buy-main",02:22:12:04,,,,,,,,,,,,
12/04/2025 18:30,12/05/2025 03:41,NAS100,Sell,0.010,25644.80000,25394.80000,25544.00000,25645.00000,0.0000,0.0000,-101.0,-10.13,-2.08,"MTL-8315M0FF sell-main",00:09:11:36,,,,,,,,,,,,
12/03/2025 18:30,12/04/2025 16:31,NAS100,Buy,0.010,25627.40000,25773.00000,25534.00000,25627.00000,0.0000,0.0000,93.0,9.31,1.95,"MTL-8315M0FF buy-main",00:22:01:02,,,,,,,,,,,,
12/02/2025 18:30,12/02/2025 19:56,NAS100,Buy,0.010,25502.20000,25650.10000,25425.00000,25502.00000,0.0000,0.0000,77.0,7.71,1.64,"MTL-8315M0FF buy-main",00:01:26:21,,,,,,,,,,,,
12/01/2025 18:30,12/01/2025 21:23,NAS100,Buy,0.010,25374.90000,25523.70000,25344.00000,25375.00000,0.0000,0.0000,31.0,3.12,0.67,"MTL-8315M0FF buy-main",00:02:53:03,,,,,,,,,,,,
11/26/2025 18:30,12/01/2025 01:00,NAS100,Buy,0.010,25178.30000,25428.30000,25278.00000,25428.00000,0.0000,0.0000,150.0,15.00,3.32,"MTL-8315M0FF buy-main",04:06:30:01,,,,,,,,,,,,
