Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
05/06/2026 01:53,05/06/2026 02:08,USDCAD,Buy,0.400,1.36173,1.36048,-2.6000,0.0000,-12.5,-33.97,-0.24,"DVAMA_Churn",00:00:15:26,0.0,0s,12.7,12.71,0.0,0.0,-12.7,-31.876999999999995,0.0,1.6,-12.50,-31.37
05/06/2026 01:29,05/06/2026 01:56,EURUSD,Buy,0.290,1.16925,1.17085,-1.8800,0.0000,16.0,37.75,0.27,"DVAMA_Churn",00:00:26:58,85.2,22m,2.0,0.04,16.0,39.68,-0.6,-1.488,96.4,100.0,0.00,0.00
05/06/2026 01:53,05/06/2026 01:55,USDJPY,Buy,0.460,157.83600,157.71000,-3.0000,0.0000,-12.6,-34.40,-0.24,"DVAMA_Churn",00:00:02:12,,,,,,,,,,,,
05/05/2026 01:35,05/05/2026 07:58,NZDCAD,Sell,0.400,0.79994,0.79834,-2.6000,0.0000,16.0,37.62,0.27,"DVAMA_Churn",00:06:23:08,100.0,6h 23m,12.9,0.06,16.6,41.666,0.0,0.0,100.0,96.4,-0.60,-1.51
05/04/2026 01:35,05/04/2026 10:08,USDCAD,Buy,0.400,1.35854,1.35983,-2.6000,0.0000,12.9,29.77,0.21,"DVAMA_Churn",00:08:33:20,85.4,7h 18m,10.5,0.23,13.0,32.629999999999995,-3.0,-7.529999999999999,81.3,99.4,-0.10,-0.25
05/04/2026 01:25,05/04/2026 09:08,EURCAD,Sell,0.400,1.59353,1.59473,-2.6000,0.0000,-12.0,-32.70,-0.23,"DVAMA_Churn",00:07:43:17,31.2,2h 24m,21.5,1.26,9.5,23.845,-12.0,-30.119999999999997,44.2,0.0,-21.50,-53.96
05/04/2026 01:27,05/04/2026 06:52,GBPUSD,Sell,0.290,1.35863,1.35982,-1.8800,0.0000,-11.9,-31.28,-0.22,"DVAMA_Churn",00:05:25:52,74.6,4h 3m,22.7,1.10,10.8,26.676000000000005,-11.9,-29.393000000000004,47.6,0.0,-22.70,-56.07
05/04/2026 01:25,05/04/2026 06:45,GBPCAD,Sell,0.400,1.84579,1.84701,-2.6000,0.0000,-12.2,-33.21,-0.24,"DVAMA_Churn",00:05:20:13,40.7,2h 10m,24.3,1.01,12.1,30.370999999999995,-12.2,-30.621999999999996,49.8,0.0,-24.30,-60.99
05/04/2026 01:31,05/04/2026 04:06,USDJPY,Buy,0.460,156.87400,157.03600,-3.0000,0.0000,16.2,37.48,0.27,"DVAMA_Churn",00:02:35:20,44.3,1h 8m,8.7,0.44,16.2,40.5,-7.1,-17.75,69.5,100.0,0.00,0.00
05/04/2026 01:43,05/04/2026 04:01,GBPAUD,Buy,0.410,1.88322,1.88483,-2.6600,0.0000,16.1,37.91,0.27,"DVAMA_Churn",00:02:18:04,100.0,2h 18m,9.6,0.06,16.1,40.572,0.0,0.0,100.0,100.0,0.00,0.00
04/30/2026 02:01,04/30/2026 02:41,USDJPY,Buy,0.470,160.32600,160.20600,-3.0600,0.0000,-12.0,-33.19,-0.24,"DVAMA_Churn",00:00:40:18,17.5,7m,13.8,6.67,1.8,4.518,-12.0,-30.119999999999997,13.0,0.0,-13.80,-34.64
04/29/2026 01:43,04/29/2026 09:14,USDJPY,Buy,0.470,159.57400,159.73400,-3.0600,0.0000,16.0,37.20,0.27,"DVAMA_Churn",00:07:31:25,77.9,5h 51m,10.2,0.33,16.0,40.32,-5.2,-13.104000000000001,75.5,100.0,0.00,0.00
04/28/2026 01:29,04/28/2026 09:18,EURCAD,Buy,0.400,1.59691,1.59571,-2.6000,0.0000,-12.0,-32.68,-0.23,"DVAMA_Churn",00:07:49:57,37.3,2h 55m,16.6,2.61,4.6,11.545999999999998,-12.0,-30.119999999999997,27.7,0.0,-16.60,-41.67
04/28/2026 01:31,04/28/2026 05:37,USDCAD,Buy,0.400,1.36234,1.36395,-2.6000,0.0000,16.1,37.72,0.27,"DVAMA_Churn",00:04:06:42,56.6,2h 19m,11.300000000001,0.65,16.1,40.25,-10.500000000001,-26.2500000000025,60.5,100.0,0.00,0.00
04/27/2026 01:29,04/27/2026 12:55,GBPJPY,Buy,0.470,215.63200,215.78400,-3.0600,0.0000,15.2,35.14,0.25,"DVAMA_Churn",00:11:26:19,59.8,6h 50m,21.7,0.70,15.2,38.151999999999994,-10.6,-26.605999999999998,58.9,100.0,0.00,0.00
04/27/2026 01:33,04/27/2026 06:03,GBPCAD,Buy,0.400,1.84842,1.85003,-2.6000,0.0000,16.1,37.59,0.27,"DVAMA_Churn",00:04:30:13,61.2,2h 45m,8.3,0.32,16.1,40.25,-5.1,-12.75,75.9,100.0,0.00,0.00
