Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
02/23/2026 01:04,02/23/2026 02:01,XAUUSD,Buy,0.010,5140.22000,0.00000,5120.22000,5140.20000,-0.0800,0.0000,1998.0,19.90,0.59,00:00:56:34,1.8,1m,836.0,0.42,1998.0,19.98,-836.0,-8.36,70.5,100.0,0.00,0.00
02/23/2026 01:02,02/23/2026 02:01,XAUUSD,Buy,0.010,5142.59000,0.00000,5113.62000,5142.48000,-0.0800,0.0000,2886.0,28.78,0.86,00:00:59:07,1.7,1m,176.0,0.06,2886.0,28.86,-176.0,-1.76,94.3,100.0,0.00,0.00
02/23/2026 01:02,02/23/2026 02:00,XAUUSD,Buy,0.020,5156.50000,0.00000,5116.18000,5155.00000,-0.1400,0.0000,3882.0,77.50,2.36,00:00:58:10,1.8,1m,0.0,0.00,3882.0,77.64,0.0,0.0,100.0,100.0,0.00,0.00
02/23/2026 01:02,02/23/2026 01:08,XAUUSD,Buy,0.010,0.00000,5137.89000,5116.18000,5138.27000,-0.0800,0.0000,2209.0,22.01,0.68,00:00:06:28,16.7,1m,0.0,0.00,2209.0,22.09,0.0,0.0,100.0,100.0,0.00,0.00
02/23/2026 01:04,02/23/2026 01:08,XAUUSD,Buy,0.010,0.00000,5134.66000,5119.16000,5134.78000,-0.0800,0.0000,1562.0,15.54,0.48,00:00:03:44,,,,,,,,,,,,
02/20/2026 16:31,02/20/2026 16:57,XAUUSD,Buy,0.010,5049.73000,0.00000,5049.73000,5049.62000,-0.0800,0.0000,-11.0,-0.19,-0.01,00:00:25:22,0.0,0s,2840.0,3333.33,0.0,0.0,-2840.0,-28.400000000000002,0.0,99.6,-11.00,-0.11
02/20/2026 16:35,02/20/2026 16:56,XAUUSD,Buy,0.010,5051.46000,0.00000,5049.80000,5051.39000,-0.0800,0.0000,159.0,1.51,0.05,00:00:21:18,4.8,1m,2601.0,16.37,159.0,1.59,-2601.0,-26.01,5.8,100.0,0.00,0.00
02/20/2026 16:31,02/20/2026 16:56,XAUUSD,Buy,0.010,5051.62000,0.00000,5049.96000,5051.49000,-0.0800,0.0000,153.0,1.45,0.04,00:00:24:51,4.0,59s,2863.0,18.73,153.0,1.53,-2863.0,-28.63,5.1,100.0,0.00,0.00
02/20/2026 16:35,02/20/2026 16:56,XAUUSD,Buy,0.010,5052.65000,0.00000,5050.66000,5052.12000,-0.0800,0.0000,146.0,1.38,0.04,00:00:21:14,4.8,1m,2687.0,18.42,146.0,1.46,-2687.0,-26.87,5.2,100.0,0.00,0.00
02/20/2026 16:32,02/20/2026 16:56,XAUUSD,Buy,0.010,5052.73000,0.00000,5050.74000,5052.12000,-0.0800,0.0000,138.0,1.30,0.04,00:00:24:32,4.2,1m,2695.0,19.53,138.0,1.3800000000000001,-2695.0,-26.95,4.9,100.0,0.00,0.00
02/20/2026 16:35,02/20/2026 16:50,XAUUSD,Buy,0.010,5055.58000,0.00000,5050.66000,5055.35000,-0.0800,0.0000,469.0,4.61,0.14,00:00:15:27,6.7,1m,2687.0,5.73,469.0,4.69,-2687.0,-26.87,14.9,100.0,0.00,0.00
02/20/2026 16:35,02/20/2026 16:50,XAUUSD,Buy,0.010,5055.51000,0.00000,5050.66000,5055.35000,-0.0800,0.0000,469.0,4.61,0.14,00:00:15:27,6.7,1m,2687.0,5.73,469.0,4.69,-2687.0,-26.87,14.9,100.0,0.00,0.00
