Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
05/04/2026 18:06,05/04/2026 18:14,XAUUSD,Sell,4560.47000,4550.00000,0.0000,0.0000,1047.0,386.30,1.80,00:00:07:38,100.0,7m,3061.0,0.00,4108.0,1519.96,0.0,0.0,100.0,25.5,-3061.00,-1132.57
05/04/2026 18:06,05/04/2026 18:14,XAUUSD,Sell,4560.45000,4550.00000,0.0000,0.0000,1045.0,385.56,1.83,00:00:07:38,100.0,7m,3061.0,0.00,4106.0,1519.22,0.0,0.0,100.0,25.5,-3061.00,-1132.57
05/04/2026 18:00,05/04/2026 18:14,XAUUSD,Sell,4555.54000,4550.00000,0.0000,0.0000,554.0,204.40,0.98,00:00:14:15,100.0,14m,3110.0,0.00,3664.0,1355.68,0.0,0.0,100.0,15.1,-3110.00,-1150.70
05/04/2026 18:00,05/04/2026 18:14,XAUUSD,Sell,4556.33000,4550.00000,0.0000,0.0000,633.0,233.55,1.13,00:00:14:16,100.0,14m,3110.0,0.00,3743.0,1384.91,0.0,0.0,100.0,16.9,-3110.00,-1150.70
05/04/2026 09:01,05/04/2026 09:05,XAUUSD,Sell,4597.67000,4590.15000,0.0000,0.0000,752.0,276.57,1.36,00:00:04:23,,,,,,,,,,,,
05/04/2026 09:01,05/04/2026 09:05,XAUUSD,Sell,4597.59000,4590.15000,0.0000,0.0000,744.0,273.63,1.37,00:00:04:24,,,,,,,,,,,,
05/04/2026 09:01,05/04/2026 09:05,XAUUSD,Sell,4598.10000,4590.09000,0.0000,0.0000,801.0,294.59,1.49,00:00:04:25,,,,,,,,,,,,
05/04/2026 09:01,05/04/2026 09:05,XAUUSD,Sell,4597.85000,4590.09000,0.0000,0.0000,776.0,285.40,1.47,00:00:04:26,,,,,,,,,,,,
05/04/2026 08:39,05/04/2026 08:43,XAUUSD,Sell,4595.91000,4595.11000,0.0000,0.0000,80.0,29.43,0.15,00:00:03:44,,,,,,,,,,,,
05/04/2026 08:39,05/04/2026 08:43,XAUUSD,Sell,4595.97000,4595.11000,0.0000,0.0000,86.0,31.64,0.16,00:00:03:44,,,,,,,,,,,,
05/04/2026 08:39,05/04/2026 08:43,XAUUSD,Sell,4596.02000,4595.11000,0.0000,0.0000,91.0,33.48,0.17,00:00:03:45,,,,,,,,,,,,
05/04/2026 08:39,05/04/2026 08:43,XAUUSD,Sell,4596.01000,4595.11000,0.0000,0.0000,90.0,33.11,0.17,00:00:03:45,,,,,,,,,,,,
