Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
07/17/2025 02:45,07/17/2025 05:03,NZDCAD,Buy,0.010,0.81188,0.81301,-0.0900,0.0000,11.3,0.74,0.06,00:02:18:50,75.4,1h 44m,8.4,0.73,11.5,0.805,-8.4,-0.5880000000000001,57.8,99.0,-0.20,-0.01
07/16/2025 14:15,07/16/2025 15:12,NZDCAD,Buy,0.010,0.81365,0.81478,-0.0900,0.0000,11.3,0.73,0.06,00:00:57:17,36.9,21m,5.59939928388,0.44,11.3,0.7910000000000001,-5.0,-0.35000000000000003,69.3,100.0,0.00,0.00
07/16/2025 00:45,07/16/2025 01:48,NZDCAD,Sell,0.010,0.81764,0.81651,-0.0900,0.0000,11.3,0.74,0.06,00:01:02:47,90.5,56m,2.9,0.11,13.1,0.917,-1.5,-0.10500000000000001,89.7,87.7,-1.80,-0.13
07/15/2025 15:00,07/16/2025 00:46,AUDCAD,Buy,0.010,0.89445,0.89558,-0.0900,0.0000,11.3,0.73,0.06,00:09:46:13,3.8,22m,17.1,1.51,11.3,0.7910000000000001,-17.1,-1.1970000000000003,39.8,100.0,0.00,0.00
07/15/2025 15:00,07/16/2025 00:39,NZDCAD,Buy,0.010,0.81637,0.81750,-0.0900,0.0000,11.3,0.73,0.06,00:09:39:37,11.1,1h 4m,16.3,1.37,11.9,0.8330000000000001,-16.3,-1.1410000000000002,42.2,97.9,-0.60,-0.04
07/15/2025 07:30,07/15/2025 13:36,NZDCAD,Sell,0.010,0.82003,0.81890,-0.0900,0.0000,11.3,0.73,0.06,00:06:05:57,13.2,48m,16.0,0.95,12.97527311213,0.9082691178491,-12.3,-0.8610000000000001,51.3,93.4,-1.68,-0.12
07/15/2025 08:00,07/15/2025 13:35,AUDCAD,Sell,0.010,0.89882,0.89769,-0.0900,0.0000,11.3,0.74,0.06,00:05:35:13,68.4,3h 49m,12.7,0.39,12.9,0.9030000000000001,-5.0,-0.35000000000000003,72.1,91.1,-1.60,-0.11
07/14/2025 01:30,07/15/2025 09:38,NZDCAD,Buy,0.010,0.81984,0.82097,-0.0900,0.0000,11.3,0.73,0.06,01:08:08:22,9.7,3h 7m,29.1,2.07,12.3,0.8610000000000001,-25.5,-1.7850000000000001,32.5,97.4,-1.00,-0.07
07/14/2025 15:00,07/15/2025 07:26,AUDCAD,Buy,0.010,0.89696,0.89809,-0.0900,0.0000,11.3,0.74,0.06,00:16:26:40,37.9,6h 13m,16.5,0.84,11.3,0.7910000000000001,-9.5,-0.665,54.3,100.0,0.00,0.00
07/10/2025 19:45,07/14/2025 14:45,AUDCAD,Sell,0.040,0.90040,0.89716,-0.3600,0.0000,32.4,9.11,0.75,03:19:00:44,85.2,3d 5h ,44.6,0.55,32.4,9.395999999999999,-17.8,-5.162,64.5,100.0,0.00,0.00
07/10/2025 09:15,07/14/2025 14:45,AUDCAD,Sell,0.020,0.89690,0.89716,-0.1800,0.0000,-2.6,-0.56,-0.05,04:05:30:40,2.0,2h 1m,59.1,8.38,6.3,0.945,-52.8,-7.919999999999999,10.7,84.9,-8.90,-1.33
07/09/2025 05:00,07/14/2025 14:45,AUDCAD,Sell,0.010,0.89400,0.89716,-0.0900,0.0000,-31.6,-2.40,-0.20,05:09:45:44,5.8,7h 31m,96.0,5.76,14.2,0.994,-81.8,-5.726,14.8,52.3,-45.80,-3.21
07/08/2025 00:15,07/14/2025 14:45,AUDCAD,Sell,0.010,0.88985,0.89716,-0.0900,0.0000,-73.1,-5.44,-0.44,06:14:30:43,2.4,3h 48m,133.7,11.86,10.4,0.7280000000000001,-123.3,-8.631,7.8,37.5,-83.50,-5.85
07/10/2025 18:30,07/11/2025 12:10,NZDCAD,Sell,0.010,0.82408,0.82295,-0.0900,0.0000,11.3,0.74,0.06,00:17:40:39,44.9,7h 56m,27.4,1.43,12.0,0.8400000000000001,-17.2,-1.204,41.1,97.6,-0.70,-0.05
07/10/2025 09:45,07/10/2025 13:32,NZDCAD,Sell,0.010,0.82315,0.82202,-0.0900,0.0000,11.3,0.74,0.06,00:03:47:48,61.3,2h 19m,9.4,0.55,11.8,0.8260000000000002,-6.5,-0.45500000000000007,64.5,97.3,-0.50,-0.04
07/07/2025 04:00,07/10/2025 09:39,NZDCAD,Buy,0.040,0.82027,0.82301,-0.3600,0.0000,27.4,7.66,0.63,03:05:39:11,63.2,2d 1h ,42.4,0.93,27.4,7.945999999999999,-25.4,-7.365999999999999,51.9,100.0,0.00,0.00
07/03/2025 12:45,07/10/2025 09:39,NZDCAD,Buy,0.020,0.82161,0.82301,-0.1800,0.0000,14.0,1.87,0.15,06:20:54:12,57.4,3d 22h ,70.2,1.00,35.1,5.265,-35.1,-5.265,50.0,69.9,-21.10,-3.17
07/02/2025 12:00,07/10/2025 09:39,NZDCAD,Buy,0.010,0.82683,0.82301,-0.0900,0.0000,-38.2,-2.88,-0.24,07:21:39:17,4.9,9h 17m,98.8,7.59,11.5,0.805,-87.3,-6.111000000000001,11.6,49.7,-49.70,-3.48
07/02/2025 07:00,07/10/2025 09:39,NZDCAD,Buy,0.010,0.83083,0.82301,-0.0900,0.0000,-78.2,-5.81,-0.48,08:02:39:17,0.0,0s,127.3,128.21,0.0,0.0,-127.3,-8.911000000000001,0.0,38.6,-78.20,-5.47
07/07/2025 01:45,07/08/2025 00:13,AUDCAD,Buy,0.010,0.88866,0.88979,-0.0900,0.0000,11.3,0.73,0.06,00:22:28:48,16.4,3h 41m,24.2,1.63,12.0,0.8400000000000001,-19.5,-1.3650000000000002,38.1,97.8,-0.70,-0.05
07/04/2025 07:45,07/04/2025 08:05,AUDCAD,Buy,0.010,0.89017,0.89130,-0.0900,0.0000,11.3,0.74,0.06,00:00:20:06,100.0,20m,2.9,0.09,11.3,0.7910000000000001,0.0,0.0,100.0,100.0,0.00,0.00
07/01/2025 08:00,07/02/2025 07:05,NZDCAD,Sell,0.010,0.83120,0.83007,-0.0900,0.0000,11.3,0.74,0.06,00:23:05:22,18.0,4h 9m,25.2,1.35,12.3,0.8610000000000001,-16.6,-1.1620000000000001,42.6,96.5,-1.00,-0.07
07/01/2025 01:45,07/01/2025 04:23,NZDCAD,Buy,0.010,0.82792,0.82905,-0.0900,0.0000,11.3,0.75,0.06,00:02:38:20,79.8,2h 6m,7.3,0.46,11.5,0.805,-5.3,-0.371,68.5,98.8,-0.20,-0.01
06/30/2025 17:30,07/01/2025 01:36,AUDCAD,Sell,0.040,0.89640,0.89303,-0.3600,0.0000,33.7,9.54,0.79,00:08:06:39,85.9,6h 58m,18.4,0.07,35.2,10.208,-2.6,-0.754,93.1,96.0,-1.50,-0.43
06/24/2025 18:45,07/01/2025 01:36,AUDCAD,Sell,0.020,0.89267,0.89303,-0.1800,0.0000,-3.6,-0.70,-0.06,06:06:51:39,18.8,1d 4h ,69.3,1.31,30.0,4.2,-39.3,-5.502,43.3,51.5,-33.60,-4.70
06/23/2025 23:30,07/01/2025 01:36,AUDCAD,Sell,0.010,0.88979,0.89303,-0.0900,0.0000,-32.4,-2.47,-0.20,07:02:06:40,1.5,2h 33m,73.7,12.17,5.6,0.392,-68.1,-4.767,7.6,48.4,-38.00,-2.66
06/23/2025 17:15,07/01/2025 01:36,AUDCAD,Sell,0.010,0.88554,0.89303,-0.0900,0.0000,-74.9,-5.59,-0.46,07:08:21:38,0.0,0s,110.6,111.11,0.0,0.0,-110.6,-7.742,0.0,32.3,-74.90,-5.24
06/27/2025 18:00,06/27/2025 18:37,NZDCAD,Sell,0.010,0.83053,0.82940,-0.0900,0.0000,11.3,0.73,0.06,00:00:37:05,83.8,31m,3.9,0.31,12.3,0.8610000000000001,-3.8,-0.266,76.4,93.8,-1.00,-0.07
06/25/2025 18:45,06/26/2025 20:31,NZDCAD,Sell,0.020,0.82884,0.82616,-0.1800,0.0000,26.8,3.75,0.31,01:01:46:53,56.0,14h 26m,37.9,0.81,27.1,4.065,-22.0,-3.3,55.2,99.4,-0.30,-0.05
06/24/2025 06:30,06/26/2025 20:31,NZDCAD,Sell,0.010,0.82668,0.82616,-0.0900,0.0000,5.2,0.29,0.02,02:14:01:54,35.1,21h 46m,75.9,1.28,33.3,2.331,-42.6,-2.982,43.9,63.0,-28.10,-1.97
06/23/2025 22:15,06/26/2025 20:31,NZDCAD,Sell,0.010,0.82179,0.82616,-0.0900,0.0000,-43.7,-3.30,-0.27,02:22:16:56,0.0,0s,91.5,91.74,0.0,0.0,-91.5,-6.405,0.0,52.2,-43.70,-3.06
06/23/2025 02:45,06/23/2025 17:14,AUDCAD,Buy,0.010,0.88295,0.88544,-0.0900,0.0000,24.9,1.72,0.14,00:14:28:59,38.6,5h 35m,45.2,1.42,25.7,1.7990000000000002,-36.4,-2.548,41.4,98.7,-0.80,-0.06
06/20/2025 16:00,06/23/2025 17:14,AUDCAD,Buy,0.010,0.88667,0.88544,-0.0900,0.0000,-12.3,-0.98,-0.08,03:01:13:58,1.1,48m,77.9,17.12,4.3,0.301,-73.6,-5.152,5.5,78.7,-16.60,-1.16
06/23/2025 04:45,06/23/2025 16:00,NZDCAD,Buy,0.020,0.81474,0.81792,-0.1800,0.0000,31.8,4.44,0.37,00:11:15:16,46.7,5h 15m,42.9,0.94,32.3,4.845,-30.3,-4.545,51.6,99.2,-0.50,-0.07
06/22/2025 21:20,06/23/2025 16:00,NZDCAD,Buy,0.010,0.81850,0.81792,-0.0900,0.0000,-5.8,-0.51,-0.04,00:18:39:55,14.7,2h 44m,76.6,7.81,8.7,0.609,-67.9,-4.753000000000001,11.4,81.1,-14.50,-1.02
06/19/2025 02:00,06/23/2025 16:00,NZDCAD,Buy,0.010,0.82218,0.81792,-0.0900,0.0000,-42.6,-3.18,-0.26,04:14:00:18,1.6,1h 45m,109.2,23.31,4.5,0.31500000000000006,-104.7,-7.329000000000001,4.1,56.9,-47.10,-3.30
06/20/2025 00:15,06/20/2025 01:37,NZDCAD,Sell,0.010,0.82200,0.82087,-0.0900,0.0000,11.3,0.73,0.06,00:01:22:47,100.0,1h 22m,4.1,0.08,13.0,0.9100000000000001,0.0,0.0,100.0,86.9,-1.70,-0.12
06/19/2025 06:00,06/19/2025 23:50,AUDCAD,Buy,0.010,0.88711,0.88824,-0.0900,0.0000,11.3,0.73,0.06,00:17:50:44,44.5,7h 56m,23.0,1.27,11.3,0.7910000000000001,-14.4,-1.0080000000000002,44.0,100.0,0.00,0.00
06/18/2025 14:15,06/19/2025 01:04,AUDCAD,Sell,0.010,0.89022,0.88909,-0.0900,0.0000,11.3,0.73,0.06,00:10:49:52,21.0,2h 16m,21.2,1.61,13.2,0.924,-21.2,-1.484,38.4,94.5,-1.90,-0.13
06/18/2025 14:15,06/19/2025 01:01,NZDCAD,Sell,0.010,0.82534,0.82421,-0.0900,0.0000,11.3,0.73,0.06,00:10:46:44,41.9,4h 30m,20.5,1.01,20.3,1.4210000000000003,-20.5,-1.435,49.8,77.9,-9.00,-0.63
06/18/2025 05:00,06/18/2025 10:52,AUDCAD,Sell,0.010,0.88835,0.88722,-0.0900,0.0000,11.3,0.73,0.06,00:05:52:25,74.0,4h 20m,8.7,0.36,15.7,1.099,-5.6,-0.392,73.7,79.3,-4.40,-0.31
06/17/2025 18:00,06/17/2025 20:17,NZDCAD,Buy,0.010,0.82028,0.82141,-0.0900,0.0000,11.3,0.74,0.06,00:02:16:59,66.7,1h 31m,4.7,0.37,11.3,0.7910000000000001,-4.2,-0.29400000000000004,72.9,100.0,0.00,0.00
06/17/2025 18:00,06/17/2025 20:10,AUDCAD,Buy,0.010,0.88265,0.88378,-0.0900,0.0000,11.3,0.74,0.06,00:02:10:14,87.5,1h 53m,5.8,0.04,17.1,1.1970000000000003,-0.7,-0.049,96.1,67.4,-5.80,-0.41
06/17/2025 06:45,06/17/2025 07:10,AUDCAD,Sell,0.010,0.88817,0.88704,-0.0900,0.0000,11.3,0.74,0.06,00:00:25:51,,,,,,,,,,,,
06/13/2025 00:15,06/16/2025 12:07,AUDCAD,Buy,0.010,0.88415,0.88528,-0.0900,0.0000,11.3,0.74,0.06,03:11:52:25,6.6,5h 32m,46.2,3.52,11.3,0.7910000000000001,-39.8,-2.786,22.1,100.0,0.00,0.00
06/13/2025 00:45,06/13/2025 01:48,NZDCAD,Buy,0.010,0.81992,0.82105,-0.0900,0.0000,11.3,0.74,0.06,00:01:03:44,,,,,,,,,,,,
06/12/2025 07:45,06/12/2025 08:04,NZDCAD,Buy,0.010,0.82128,0.82241,-0.0900,0.0000,11.3,0.74,0.06,00:00:19:41,,,,,,,,,,,,
06/12/2025 01:45,06/12/2025 03:25,NZDCAD,Buy,0.010,0.82287,0.82400,-0.0900,0.0000,11.3,0.73,0.06,00:01:40:21,,,,,,,,,,,,
06/12/2025 01:45,06/12/2025 03:21,AUDCAD,Buy,0.010,0.88645,0.88758,-0.0900,0.0000,11.3,0.74,0.06,00:01:36:13,,,,,,,,,,,,
06/11/2025 19:30,06/11/2025 23:03,AUDCAD,Buy,0.010,0.88821,0.88934,-0.0900,0.0000,11.3,0.73,0.06,00:03:32:58,100.0,3h 32m,1.9,0.09,11.3,0.7910000000000001,0.0,0.0,100.0,100.0,0.00,0.00
06/11/2025 02:00,06/11/2025 12:34,NZDCAD,Buy,0.010,0.82544,0.82657,-0.0900,0.0000,11.3,0.74,0.06,00:10:34:57,33.4,3h 32m,16.2,0.78,13.8,0.9660000000000002,-10.7,-0.749,56.3,89.8,-2.50,-0.18
06/11/2025 02:00,06/11/2025 03:40,AUDCAD,Buy,0.010,0.88948,0.89061,-0.0900,0.0000,11.3,0.73,0.06,00:01:40:54,,,,,,,,,,,,
06/09/2025 06:45,06/11/2025 01:49,NZDCAD,Sell,0.010,0.82694,0.82581,-0.0900,0.0000,11.3,0.74,0.06,01:19:04:43,19.8,8h 31m,30.0,1.73,15.7,1.099,-27.1,-1.8970000000000002,36.7,89.7,-4.40,-0.31
06/09/2025 02:15,06/11/2025 01:34,AUDCAD,Sell,0.010,0.89138,0.89025,-0.0900,0.0000,11.3,0.74,0.06,01:23:19:26,13.7,6h 29m,34.3,1.52,19.8,1.3860000000000001,-30.0,-2.1,39.8,82.9,-8.50,-0.60
06/06/2025 15:15,06/06/2025 15:55,NZDCAD,Buy,0.010,0.82257,0.82370,-0.0900,0.0000,11.3,0.73,0.06,00:00:40:14,,,,,,,,,,,,
06/06/2025 02:45,06/06/2025 03:23,NZDCAD,Buy,0.010,0.82399,0.82512,-0.0900,0.0000,11.3,0.73,0.06,00:00:38:26,,,,,,,,,,,,
05/30/2025 07:15,06/02/2025 09:30,AUDCAD,Buy,0.010,0.88642,0.88755,-0.0900,0.0000,11.3,0.74,0.06,03:02:15:21,10.1,7h 29m,38.5,2.23,13.4,0.9380000000000002,-29.9,-2.093,30.9,95.2,-2.10,-0.15
05/30/2025 09:00,06/02/2025 01:33,NZDCAD,Buy,0.010,0.82229,0.82342,-0.0900,0.0000,11.3,0.73,0.06,02:16:33:16,6.3,4h 4m,39.4,2.67,11.3,0.7910000000000001,-30.2,-2.1140000000000003,27.2,100.0,0.00,0.00
05/28/2025 23:00,05/28/2025 23:39,NZDCAD,Sell,0.010,0.82619,0.82506,-0.0900,0.0000,11.3,0.73,0.06,00:00:38:58,,,,,,,,,,,,
05/28/2025 04:00,05/28/2025 04:19,NZDCAD,Sell,0.010,0.82612,0.82499,-0.0900,0.0000,11.3,0.73,0.06,00:00:18:59,,,,,,,,,,,,
05/27/2025 20:00,05/28/2025 00:36,NZDCAD,Sell,0.010,0.82203,0.82090,-0.0900,0.0000,11.3,0.73,0.06,00:04:36:43,100.0,4h 36m,1.5,0.08,12.8,0.8960000000000001,0.0,0.0,100.0,88.3,-1.50,-0.11
05/27/2025 15:00,05/27/2025 16:32,NZDCAD,Buy,0.010,0.81798,0.81911,-0.0900,0.0000,11.3,0.73,0.06,00:01:32:41,,,,,,,,,,,,
05/27/2025 09:00,05/27/2025 12:58,NZDCAD,Buy,0.010,0.82008,0.82121,-0.0900,0.0000,11.3,0.73,0.06,00:03:58:17,,,,,,,,,,,,
05/21/2025 01:15,05/21/2025 09:52,AUDCAD,Sell,0.010,0.89526,0.89412,-0.0900,0.0000,11.4,0.73,0.06,00:08:37:29,37.5,3h 14m,7.6,0.65,11.7,0.8190000000000001,-7.6,-0.532,60.6,98.4,-0.30,-0.02
05/21/2025 00:45,05/21/2025 07:12,NZDCAD,Sell,0.010,0.82559,0.82445,-0.0900,0.0000,11.4,0.73,0.06,00:06:26:59,57.2,3h 41m,11.0,0.50,14.3,1.0010000000000001,-7.2,-0.5040000000000001,66.5,86.5,-2.90,-0.20
05/20/2025 10:30,05/21/2025 01:00,AUDCAD,Buy,0.010,0.89416,0.89530,-0.0900,0.0000,11.4,0.73,0.06,00:14:30:05,20.0,2h 54m,33.1,2.90,11.4,0.7980000000000002,-33.1,-2.317,25.6,100.0,0.00,0.00
05/20/2025 10:45,05/21/2025 00:28,NZDCAD,Buy,0.010,0.82403,0.82517,-0.0900,0.0000,11.4,0.73,0.06,00:13:43:51,50.0,6h 51m,22.9,1.49,15.4,1.078,-22.9,-1.603,40.2,89.6,-4.00,-0.28
05/19/2025 15:45,05/20/2025 09:34,NZDCAD,Sell,0.010,0.82590,0.82476,-0.0900,0.0000,11.4,0.73,0.06,00:17:49:49,38.9,6h 56m,18.6,1.07,13.8,0.9660000000000002,-14.8,-1.0360000000000003,48.3,91.6,-2.40,-0.17
05/19/2025 09:00,05/20/2025 05:41,AUDCAD,Sell,0.010,0.89769,0.89655,-0.0900,0.0000,11.4,0.72,0.06,00:20:41:05,14.3,2h 57m,33.3,1.39,23.9,1.673,-33.3,-2.331,41.8,78.1,-12.50,-0.88
05/19/2025 11:00,05/19/2025 12:46,NZDCAD,Sell,0.010,0.82497,0.82383,-0.0900,0.0000,11.4,0.73,0.06,00:01:46:41,,,,,,,,,,,,
05/16/2025 15:30,05/16/2025 18:45,NZDCAD,Buy,0.010,0.82111,0.82225,-0.0900,0.0000,11.4,0.72,0.06,00:03:15:15,,,,,,,,,,,,
05/16/2025 05:15,05/16/2025 13:03,NZDCAD,Sell,0.010,0.82385,0.82271,-0.0900,0.0000,11.4,0.72,0.06,00:07:48:49,37.5,2h 55m,9.0,0.79,11.4,0.7980000000000002,-9.0,-0.6300000000000001,55.9,100.0,0.00,0.00
05/16/2025 00:45,05/16/2025 02:39,NZDCAD,Buy,0.010,0.81933,0.82047,-0.0900,0.0000,11.4,0.72,0.06,00:01:54:08,,,,,,,,,,,,
05/16/2025 01:00,05/16/2025 01:35,AUDCAD,Buy,0.010,0.89278,0.89392,-0.0900,0.0000,11.4,0.73,0.06,00:00:35:45,,,,,,,,,,,,
05/15/2025 10:30,05/15/2025 12:39,AUDCAD,Buy,0.010,0.89594,0.89708,-0.0900,0.0000,11.4,0.73,0.06,00:02:09:43,,,,,,,,,,,,
05/14/2025 16:45,05/15/2025 01:30,AUDCAD,Buy,0.010,0.89897,0.90011,-0.0900,0.0000,11.4,0.73,0.06,00:08:44:59,22.3,1h 57m,12.0,0.91,13.2,0.924,-12.0,-0.8400000000000001,52.4,92.9,-1.80,-0.13
05/13/2025 16:30,05/14/2025 15:03,AUDCAD,Sell,0.040,0.90367,0.90035,-0.3600,0.0000,33.2,9.15,0.78,00:22:33:46,100.0,22h 33m,26.5,0.03,36.4,10.556,0.0,0.0,100.0,91.2,-3.20,-0.93
05/13/2025 13:45,05/14/2025 15:03,AUDCAD,Sell,0.020,0.90018,0.90035,-0.1800,0.0000,-1.7,-0.42,-0.04,01:01:18:47,3.9,59m,34.4,22.94,1.5,0.21000000000000002,-34.4,-4.816,4.2,91.1,-3.20,-0.45
05/13/2025 07:45,05/14/2025 15:03,AUDCAD,Sell,0.010,0.89690,0.90035,-0.0900,0.0000,-34.5,-2.57,-0.22,01:07:18:46,9.4,2h 56m,70.8,18.69,3.6,0.25200000000000006,-67.2,-4.704000000000001,5.1,46.2,-38.10,-2.67
05/13/2025 03:45,05/14/2025 15:03,AUDCAD,Sell,0.010,0.89295,0.90035,-0.0900,0.0000,-74.0,-5.39,-0.45,01:11:18:47,0.0,0s,106.7,107.53,0.0,0.0,-106.7,-7.469000000000001,0.0,30.6,-74.00,-5.18
