Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/19/2026 07:31,05/19/2026 07:32,GOLDI,Sell,0.010,4537.43000,4536.43000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:01:41,,,,,,,,,,,,
05/18/2026 07:55,05/18/2026 07:55,GOLDI,Buy,0.010,4535.53000,4536.53000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:00:19,,,,,,,,,,,,
05/15/2026 07:38,05/15/2026 07:38,GOLDI,Buy,0.010,4564.22000,4566.03000,0.0000,0.0000,181.0,1.81,0.32,"",00:00:00:20,,,,,,,,,,,,
05/14/2026 12:58,05/14/2026 12:58,GOLDI,Buy,0.010,4695.92000,4696.92000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:00:15,,,,,,,,,,,,
05/13/2026 06:31,05/13/2026 07:04,GOLDI,Buy,0.010,4703.06000,4704.27000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:32:51,,,,,,,,,,,,
05/12/2026 07:04,05/12/2026 07:07,GOLDI,Sell,0.010,4718.35000,4717.35000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:02:21,,,,,,,,,,,,
05/11/2026 02:45,05/11/2026 02:45,GOLDI,Buy,0.010,4689.27000,4690.27000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:00:24,,,,,,,,,,,,
05/08/2026 06:39,05/08/2026 06:54,GOLDI,Buy,0.010,4714.39000,4715.39000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:15:17,,,,,,,,,,,,
05/07/2026 09:14,05/07/2026 09:15,GOLDI,Sell,0.010,4748.06000,4746.85000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:01:15,,,,,,,,,,,,
05/06/2026 07:32,05/06/2026 07:34,GOLDI,Buy,0.010,4647.07000,4648.07000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:02:03,,,,,,,,,,,,
05/05/2026 07:33,05/05/2026 08:17,GOLDI,Sell,0.010,4542.24000,4541.24000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:44:30,,,,,,,,,,,,
05/04/2026 06:50,05/04/2026 06:51,GOLDI,Buy,0.010,4608.24000,4609.24000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:00:37,,,,,,,,,,,,
05/01/2026 07:02,05/01/2026 07:05,GOLDI,Buy,0.010,4609.31000,4610.52000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:03:39,,,,,,,,,,,,
04/30/2026 05:26,04/30/2026 07:51,GOLDI,Buy,0.010,4566.84000,4567.84000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:02:24:46,,,,,,,,,,,,
04/30/2026 06:26,04/30/2026 07:08,GOLDI,Buy,0.010,4550.46000,4551.99000,0.0000,0.0000,153.0,1.53,0.28,"[tp]",00:00:41:45,,,,,,,,,,,,
04/29/2026 05:42,04/29/2026 05:57,GOLDI,Buy,0.010,4594.69000,4595.69000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:15:12,,,,,,,,,,,,
04/28/2026 07:16,04/28/2026 07:18,GOLDI,Buy,0.010,4652.47000,4653.47000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:01:39,,,,,,,,,,,,
04/27/2026 07:33,04/27/2026 08:10,GOLDI,Buy,0.010,4713.30000,4714.30000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:36:44,,,,,,,,,,,,
04/24/2026 06:17,04/24/2026 06:46,GOLDI,Buy,0.010,4669.06000,4670.27000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:29:00,,,,,,,,,,,,
04/23/2026 07:43,04/23/2026 07:45,GOLDI,Buy,0.010,4702.05000,4703.05000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:01:24,,,,,,,,,,,,
04/22/2026 04:52,04/22/2026 04:53,GOLDI,Buy,0.010,4754.04000,4755.04000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:00:52,,,,,,,,,,,,
04/21/2026 08:13,04/21/2026 09:15,GOLDI,Buy,0.010,4785.06000,4786.06000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:01:01:30,,,,,,,,,,,,
04/20/2026 16:07,04/20/2026 16:08,GOLDI,Buy,0.010,4815.99000,4817.20000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:00:36,,,,,,,,,,,,
04/17/2026 08:41,04/17/2026 08:50,GOLDI,Buy,0.010,4785.69000,4786.69000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:08:59,,,,,,,,,,,,
04/16/2026 06:24,04/16/2026 06:25,GOLDI,Buy,0.010,4826.51000,4827.72000,0.0000,0.0000,121.0,1.21,0.22,"[tp]",00:00:01:06,,,,,,,,,,,,
04/15/2026 10:00,04/15/2026 10:01,GOLDI,Buy,0.010,4806.90000,4808.04000,0.0000,0.0000,114.0,1.14,0.21,"",00:00:00:16,,,,,,,,,,,,
04/14/2026 07:11,04/14/2026 07:20,GOLDI,Buy,0.010,4766.48000,4767.48000,0.0000,0.0000,100.0,1.00,0.19,"[tp]",00:00:08:49,,,,,,,,,,,,
